HourOfYear,deploy_factor_RegU_ERCOT,deploy_factor_RegD_ERCOT,deploy_factor_Spin_ERCOT,deploy_factor_NSpin_ERCOT,deploy_factor_ECRS_ERCOT
1912,0.6266,0.5982,0.7973,0.9066,0.8975
1913,0.6304,0.5983,0.8290,0.8963,0.9220
1914,0.6565,0.6439,0.8274,0.8804,0.9007
1915,0.7058,0.6418,0.8893,0.8942,0.8646
1916,0.7316,0.6227,0.9368,0.9104,0.8861
1917,0.6575,0.6362,0.9107,0.9200,0.8513
1918,0.7005,0.6477,0.9030,0.9448,0.8721
1919,0.7178,0.6432,0.8751,0.9477,0.8789
1920,0.7739,0.6740,0.8905,0.9548,0.9130
1921,0.7362,0.6728,0.9176,0.9348,0.9554
1922,0.6946,0.7301,0.9360,0.9707,0.9180
1923,0.7246,0.7065,0.9169,1.0000,0.8494
1924,0.7443,0.6816,0.8965,0.9980,0.8544
1925,0.7119,0.6756,0.8788,0.9388,0.8947
1926,0.7008,0.7080,0.9285,0.9013,0.8396
1927,0.7165,0.7235,0.9049,0.9563,0.8880
1928,0.7245,0.7003,0.9279,0.9338,0.8709
1929,0.7178,0.6665,0.9104,0.9323,0.8682
1930,0.7170,0.6295,0.8551,0.9901,0.8810
1931,0.6859,0.6062,0.8651,0.9854,0.8922
1932,0.6823,0.6790,0.8325,0.9662,0.8973
1933,0.6401,0.6576,0.8355,0.9430,0.9110
1934,0.6532,0.6403,0.8289,0.8986,0.9709
1935,0.6179,0.6775,0.8510,0.8983,0.9132
1936,0.5994,0.6826,0.8494,0.8780,0.8907
1937,0.7280,0.7209,0.8390,0.8883,0.9211
1938,0.6584,0.7593,0.8751,0.8997,0.9390
1939,0.7002,0.7836,0.8674,0.8941,0.9455
1940,0.7092,0.7484,0.8804,0.8958,0.8924
1941,0.7172,0.6520,0.8885,0.9208,0.8363
1942,0.6778,0.6090,0.8679,0.9158,0.8465
1943,0.7071,0.6316,0.8752,0.8775,0.8938
1944,0.6449,0.6835,0.8624,0.8884,0.8346
1945,0.6407,0.6559,0.8679,0.8759,0.8773
1946,0.6545,0.6796,0.8617,0.9259,0.8993
1947,0.7200,0.6704,0.8824,0.9183,0.8876
1948,0.7374,0.7311,0.9024,0.9349,0.8710
1949,0.7147,0.7055,0.8507,0.8948,0.9009
1950,0.7022,0.7313,0.8353,0.8886,0.9384
1951,0.7208,0.7198,0.8274,0.9129,0.9571
1952,0.6758,0.7254,0.8384,0.8816,0.9681
1953,0.7182,0.7029,0.8963,0.9199,0.9331
1954,0.7110,0.7136,0.8470,0.8708,0.8640
1955,0.6794,0.6428,0.8752,0.8609,0.8633
1956,0.6374,0.6120,0.9071,0.8734,0.8891
1957,0.5681,0.5991,0.8882,0.8640,0.9009
1958,0.6558,0.6422,0.8970,0.8885,0.8759
1959,0.6027,0.6435,0.9144,0.8942,0.8621
1960,0.6403,0.5813,0.8916,0.8549,0.9274
1961,0.6681,0.6083,0.8656,0.8722,0.9595
1962,0.6593,0.5781,0.9347,0.8359,0.9660
1963,0.6645,0.6340,0.9009,0.8690,0.9523
1964,0.6591,0.6657,0.9029,0.8529,0.9327
1965,0.6756,0.6246,0.8718,0.8297,0.9279
1966,0.6680,0.6548,0.9062,0.8478,0.9670
1967,0.6655,0.7188,0.8472,0.8400,0.9418
1968,0.6704,0.6696,0.8573,0.8811,0.9226
1969,0.6978,0.6794,0.8575,0.8875,0.9659
1970,0.7183,0.6920,0.8649,0.8764,0.9755
1971,0.7101,0.6731,0.9233,0.8550,0.9735
1972,0.6994,0.6893,0.9203,0.8431,0.9426
1973,0.7183,0.6730,0.8601,0.8247,0.9417
1974,0.6856,0.6332,0.8549,0.8658,0.9107
1975,0.6499,0.6672,0.8523,0.9160,0.9015
1976,0.6163,0.6563,0.9089,0.8866,0.9475
1977,0.6429,0.6242,0.8956,0.9509,0.9628
1978,0.6921,0.6557,0.8847,0.9350,0.9490
1979,0.6962,0.6732,0.9076,0.9157,0.9703
1980,0.7058,0.7303,0.9926,0.9117,0.9361
1981,0.6872,0.7400,0.9032,0.9471,0.9691
1982,0.6987,0.7171,0.8845,0.9121,0.9638
1983,0.7036,0.7354,0.8601,0.8930,0.9617
1984,0.7189,0.6939,0.8553,0.8335,0.9197
1985,0.6350,0.7440,0.8690,0.8374,0.8742
1986,0.6637,0.7147,0.9353,0.8360,0.8424
1987,0.6928,0.6556,0.9614,0.8553,0.8083
1988,0.7146,0.6454,0.9268,0.8541,0.7442
1989,0.7073,0.6400,0.9569,0.8380,0.7572
1990,0.7642,0.6841,0.9601,0.8622,0.8011
1991,0.7812,0.6531,0.9796,0.8598,0.8815
1992,0.8115,0.6475,0.9993,0.8122,0.8997
1993,0.8019,0.6604,0.9250,0.8361,0.9328
1994,0.7793,0.6691,0.8994,0.8612,0.9352
1995,0.7814,0.7288,0.9089,0.8815,0.9267
1996,0.7424,0.7435,0.9000,0.8337,0.9118
1997,0.7606,0.7066,0.9174,0.8504,0.9433
1998,0.7320,0.7269,0.8824,0.9276,0.9514
1999,0.7053,0.7091,0.8987,0.9730,0.9278
2000,0.6602,0.7656,0.8894,0.9051,0.9494
2001,0.7026,0.7427,0.8943,0.8485,0.9232
2002,0.7692,0.7585,0.9506,0.8756,0.9165
2003,0.7994,0.7819,0.9355,0.8292,0.9043
2004,0.8073,0.7533,0.9415,0.8256,0.8971
2005,0.8145,0.7370,0.9198,0.8809,0.8914
2006,0.8189,0.7145,0.8574,0.8821,0.9187
2007,0.7882,0.7323,0.8690,0.8216,0.9058
2008,0.7559,0.8078,0.8947,0.8499,0.9457
2009,0.7110,0.8033,0.9160,0.8556,0.9014
2010,0.7706,0.7919,0.8971,0.8874,0.9386
2011,0.7483,0.7452,0.8771,0.8795,0.9544
2012,0.7423,0.7709,0.9349,0.9695,0.9365
2013,0.6954,0.7611,0.9877,0.9443,0.9582
2014,0.6707,0.8246,0.9147,0.9474,0.9636
2015,0.6444,0.8545,0.9149,0.9610,0.9244
2016,0.6448,0.8242,0.9255,0.9831,0.9336
2017,0.6783,0.8075,0.9308,0.9155,0.9374
2018,0.6987,0.7833,0.9444,0.9537,0.8873
2019,0.7190,0.7320,0.9432,0.9292,0.8373
2020,0.7143,0.7512,0.8886,0.9312,0.8434
2021,0.7361,0.7329,0.8889,0.8698,0.9051
2022,0.7231,0.7965,0.9003,0.8188,0.8943
2023,0.7332,0.7774,0.8616,0.8486,0.8753
2024,0.7127,0.7189,0.8410,0.8990,0.8772
2025,0.7467,0.7297,0.8230,0.8585,0.9008
2026,0.7065,0.7514,0.7930,0.8199,0.8800
2027,0.7426,0.7582,0.8337,0.8436,0.9318
2028,0.7452,0.7557,0.8229,0.8345,0.9496
2029,0.7857,0.7391,0.8506,0.8714,0.9642
2030,0.7447,0.7395,0.8449,0.8524,1.0000
2031,0.7270,0.7366,0.9073,0.8619,0.9637
2032,0.7124,0.6907,0.8936,0.9141,0.9470
2033,0.6809,0.7592,0.8889,0.9383,0.9077
2034,0.7509,0.7565,0.8845,0.8807,0.9108
2035,0.7158,0.7448,0.8726,0.8869,0.8837
2036,0.6815,0.7911,0.8412,0.8865,0.8843
2037,0.7340,0.7246,0.8719,0.8593,0.8746
2038,0.7520,0.7939,0.8948,0.8932,0.8430
2039,0.7341,0.7469,0.8645,0.9119,0.8768
2040,0.6648,0.7848,0.8716,0.9436,0.8346
2041,0.7297,0.7336,0.9222,0.9171,0.8279
2042,0.7880,0.6962,0.9372,0.9110,0.8483
2043,0.7888,0.7171,0.9402,0.9559,0.8513
2044,0.7864,0.7206,0.9051,0.9796,0.9114
2045,0.7740,0.6850,0.9140,0.9489,0.9369
2046,0.7433,0.6603,0.8867,0.9371,0.9263
2047,0.7740,0.6559,0.9240,0.8908,0.9051
2048,0.7448,0.7023,0.9154,0.9369,0.8797
2049,0.7534,0.7115,0.9489,0.9595,0.8324
2050,0.7488,0.7276,0.9368,0.9532,0.8978
2051,0.7376,0.7037,0.8904,0.9684,0.8774
2052,0.7008,0.7187,0.8808,0.8943,0.8839
2053,0.6608,0.6684,0.8439,0.9173,0.8669
2054,0.6860,0.6469,0.8224,0.9395,0.9017
2055,0.6747,0.6908,0.8155,0.9273,0.9040
2056,0.6852,0.7033,0.8177,0.9100,0.9089
2057,0.6951,0.7631,0.8509,0.8910,0.8957
2058,0.7065,0.7707,0.8626,0.9106,0.8243
2059,0.7011,0.7130,0.8407,0.9055,0.8453
2060,0.7225,0.7371,0.8569,0.9295,0.8489
2061,0.7147,0.6848,0.8496,0.9301,0.8776
2062,0.7035,0.7112,0.8286,0.9298,0.8857
2063,0.7273,0.7005,0.8661,0.9077,0.8843
2064,0.7221,0.6772,0.8538,0.9478,0.8756
2065,0.7250,0.6829,0.8842,0.9524,0.8840
2066,0.7509,0.6472,0.9053,0.9267,0.8885
2067,0.7537,0.6484,0.9032,0.9314,0.8843
2068,0.7728,0.5907,0.9794,0.9303,0.8948
2069,0.7039,0.6512,0.9544,0.9368,0.8962
2070,0.7912,0.6721,0.9310,0.9314,0.8936
2071,0.7949,0.6733,0.8887,0.9600,0.8890
2072,0.7938,0.6959,0.9314,0.9366,0.8858
2073,0.7683,0.6591,0.9433,0.9425,0.9058
2074,0.7032,0.6599,0.9497,0.9247,0.9582
2075,0.7264,0.6890,0.9101,0.9110,0.9293
2076,0.7575,0.6633,0.9208,0.9034,0.9403
2077,0.6879,0.7108,0.9092,0.9015,0.9480
2078,0.7201,0.7010,0.9208,0.8863,0.9206
2079,0.7671,0.6407,0.9147,0.8988,0.8910
2080,0.8023,0.6620,0.9110,0.8694,0.8319
2081,0.7973,0.6603,0.8936,0.9069,0.8500
2082,0.7731,0.7355,0.8725,0.9435,0.9143
2083,0.7884,0.7184,0.8639,0.8605,0.9419
2084,0.7826,0.7424,0.9012,0.8693,0.9483
2085,0.7764,0.7198,0.9473,0.8832,0.9314
2086,0.7418,0.6619,0.9570,0.8942,0.9100
2087,0.6788,0.6803,0.9708,0.9111,0.8770
2088,0.7121,0.6954,0.9146,0.9084,0.8923
2089,0.6986,0.7274,0.9216,0.8965,0.9133
2090,0.6662,0.6642,0.8860,0.8769,0.9088
2091,0.6366,0.6886,0.8832,0.8988,0.8995
2092,0.6447,0.7055,0.8902,0.9136,0.8705
2093,0.6162,0.7159,0.8856,0.9417,0.8272
2094,0.6708,0.6284,0.9303,0.9493,0.8606
2095,0.6953,0.6783,0.8830,0.9232,0.8712
2096,0.7336,0.6471,0.8223,0.9342,0.9458
2097,0.6918,0.6891,0.8115,0.9247,0.9246
2098,0.6471,0.7489,0.8274,0.8802,0.9082
2099,0.7174,0.7648,0.8659,0.9213,0.8679
2100,0.6869,0.7590,0.8825,0.9417,0.8899
2101,0.6930,0.7399,0.9203,0.9291,0.8779
2102,0.6691,0.7361,0.8563,0.8991,0.8923
2103,0.6485,0.6940,0.8891,0.8794,0.9166
2104,0.6798,0.7097,0.9011,0.8834,0.8903
2105,0.6800,0.7020,0.8970,0.9020,0.9210
2106,0.7282,0.6630,0.8942,0.8990,0.8950
2107,0.6625,0.6390,0.9158,0.8925,0.9267
2108,0.6702,0.6514,0.9382,0.8451,0.9302
2109,0.6598,0.6183,0.9192,0.8102,0.9559
2110,0.6606,0.6380,0.9296,0.7477,0.9359
2111,0.6635,0.6934,0.8904,0.8087,0.9407
2112,0.6930,0.7012,0.9339,0.8544,0.9449
2113,0.6884,0.6946,0.9342,0.8768,0.9295
2114,0.6851,0.6699,0.9118,0.9268,0.9443
2115,0.7465,0.6904,0.9503,0.8986,0.9368
2116,0.6955,0.6432,0.9617,0.9058,0.8961
2117,0.6603,0.6524,0.9566,0.8688,0.9156
2118,0.7310,0.6674,0.9112,0.8936,0.8885
2119,0.7811,0.6535,0.8770,0.9079,0.8877
2120,0.7033,0.6730,0.8598,0.9091,0.9543
2121,0.7740,0.7439,0.8685,0.8976,0.9420
2122,0.7769,0.7510,0.8784,0.8985,0.8939
2123,0.7362,0.7792,0.9201,0.8853,0.9307
2124,0.7283,0.7900,0.8490,0.8930,0.8967
2125,0.7077,0.8195,0.8499,0.8690,0.8895
2126,0.7060,0.7772,0.8807,0.8785,0.8982
2127,0.6908,0.6933,0.8800,0.9382,0.9238
2128,0.6536,0.6846,0.8987,0.9044,0.9013
2129,0.6199,0.6559,0.8629,0.9205,0.9171
2130,0.6449,0.6481,0.8776,0.9594,0.9282
2131,0.6304,0.6343,0.8537,0.9510,0.9091
2132,0.5984,0.6652,0.8778,0.9533,0.9032
2133,0.6387,0.7203,0.8836,0.9690,0.8730
2134,0.6697,0.7548,0.8638,0.9344,0.8540
2135,0.6938,0.7394,0.8477,0.8716,0.8966
2136,0.6978,0.6692,0.8793,0.8780,0.8796
2137,0.6691,0.6503,0.8811,0.8674,0.8809
2138,0.7160,0.6132,0.9177,0.9160,0.8941
2139,0.7419,0.6304,0.9089,0.8827,0.8962
2140,0.8069,0.6712,0.9127,0.9178,0.8729
2141,0.8251,0.7478,0.9221,0.9078,0.8094
2142,0.8079,0.7402,0.9546,0.9222,0.8238
2143,0.8428,0.6587,0.9518,0.8904,0.8342
2144,0.8136,0.6159,0.9490,0.8515,0.8203
2145,0.7911,0.6285,0.9258,0.8693,0.8375
2146,0.7692,0.7074,0.9331,0.8785,0.8646
2147,0.7371,0.7404,0.9229,0.8733,0.8616
2148,0.8030,0.6735,0.9477,0.9123,0.8999
2149,0.7524,0.6288,0.9434,0.9273,0.8761
2150,0.6855,0.5632,0.9340,0.9333,0.9112
2151,0.6732,0.6160,0.9169,0.8962,1.0000
2152,0.6913,0.6133,0.9239,0.8983,0.9634
2153,0.6752,0.6103,0.9386,0.8586,0.9501
2154,0.6689,0.6628,0.9429,0.9062,0.9675
2155,0.6118,0.6372,0.9035,0.9189,1.0000
2156,0.5897,0.6190,0.8985,0.8802,1.0000
2157,0.5703,0.6431,0.9310,0.8126,1.0000
2158,0.6270,0.6500,0.8967,0.8510,0.9958
2159,0.5965,0.6912,0.9384,0.8435,0.9378
2160,0.5979,0.6576,0.9405,0.8517,0.9367
2161,0.6143,0.6762,0.9202,0.8767,0.9570
2162,0.5974,0.6659,0.9343,0.8544,0.9022
2163,0.6294,0.6671,0.9068,0.8675,0.8787
2164,0.6601,0.6679,0.9131,0.8637,0.7963
2165,0.7177,0.6575,0.9028,0.8584,0.8116
2166,0.7138,0.6947,0.9043,0.8746,0.7818
2167,0.6402,0.7007,0.8934,0.8787,0.8340
2168,0.6343,0.6578,0.8492,0.9580,0.8375
2169,0.6394,0.6740,0.8587,0.9415,0.8723
2170,0.6958,0.6660,0.8754,0.9029,0.8140
2171,0.6891,0.6575,0.8920,0.8822,0.8592
2172,0.7051,0.6888,0.9357,0.8399,0.8699
2173,0.6939,0.6818,0.9858,0.8432,0.8620
2174,0.7133,0.6900,0.9431,0.8593,0.8174
2175,0.6893,0.7133,0.9233,0.8969,0.8673
2176,0.6359,0.7093,0.9269,0.9378,0.8625
2177,0.5625,0.6287,0.9852,0.9166,0.8636
2178,0.6100,0.6781,1.0000,0.8976,0.8456
2179,0.6410,0.6183,0.9948,0.8950,0.8790
2180,0.6675,0.5988,0.9410,0.8848,0.9026
2181,0.6787,0.6080,0.8883,0.8891,0.8672
2182,0.6180,0.6267,0.8530,0.9431,0.8221
2183,0.6147,0.5880,0.8878,0.8967,0.9347
2184,0.6303,0.6198,0.9028,0.9556,0.8841
2185,0.6215,0.6683,0.9277,0.8756,0.8772
2186,0.6579,0.6675,0.9525,0.9034,0.8886
2187,0.6621,0.6626,0.9594,0.9051,0.8919
2188,0.6924,0.7099,0.9587,0.9192,0.9353
2189,0.7326,0.6911,0.9641,0.9157,0.8946
2190,0.7402,0.6109,0.9141,0.9433,0.9083
2191,0.7369,0.6392,0.9443,0.9073,0.9302
2192,0.6849,0.6345,0.9306,0.9391,0.9246
2193,0.6902,0.6259,0.9469,0.9910,0.9295
2194,0.6389,0.6962,0.9457,0.9987,0.9304
2195,0.6123,0.6638,0.9657,0.9423,0.9122
2196,0.6414,0.6501,0.9789,0.9193,0.9405
2197,0.6123,0.6288,0.9727,0.9395,0.9501
2198,0.7074,0.6663,0.9776,0.8628,0.9396
2199,0.7362,0.7055,1.0000,0.8847,0.9451
2200,0.7298,0.7259,0.9955,0.8907,0.8922
2201,0.6300,0.7260,0.9258,0.8696,0.9104
2202,0.5823,0.7319,0.9408,0.8669,0.8687
2203,0.6844,0.7420,0.9182,0.8723,0.8571
2204,0.6696,0.7694,0.9451,0.8782,0.8809
2205,0.7158,0.8262,0.9429,0.8989,0.8884
2206,0.6950,0.8127,0.9168,0.9269,0.8665
2207,0.6628,0.7663,0.9313,0.8618,0.8814
2208,0.6355,0.6808,0.9657,0.8666,0.8741
2209,0.5987,0.7174,0.9410,0.8781,0.8804
2210,0.6401,0.7545,0.8920,0.8842,0.8630
2211,0.6661,0.7237,0.9080,0.9083,0.8739
2212,0.6556,0.7223,0.9067,0.8895,0.8819
2213,0.5963,0.7427,0.8869,0.8962,0.8894
2214,0.6110,0.6813,0.8566,0.8885,0.9270
2215,0.6495,0.6171,0.8351,0.8990,0.8842
2216,0.7343,0.6202,0.8704,0.8953,0.9228
2217,0.7609,0.6119,0.8722,0.8902,0.9306
2218,0.7538,0.6815,0.8434,0.8507,0.9653
2219,0.7136,0.6879,0.9155,0.8605,0.9292
2220,0.7521,0.7203,0.9173,0.8680,0.9376
2221,0.7444,0.6457,0.9273,0.8487,0.9660
2222,0.7398,0.6506,0.9300,0.8501,0.9526
2223,0.7703,0.6460,0.9230,0.8093,0.9668
2224,0.7466,0.6644,0.8556,0.8025,0.9311
2225,0.7661,0.6985,0.8651,0.8776,0.9317
2226,0.7114,0.6866,0.9069,0.8793,0.9106
2227,0.6851,0.7238,0.8994,0.8777,0.8828
2228,0.7041,0.7165,0.8683,0.8692,0.8909
2229,0.7012,0.6901,0.8724,0.8716,0.8930
2230,0.6923,0.6831,0.9246,0.8206,0.9550
2231,0.6544,0.6119,0.9230,0.8812,0.9212
2232,0.6965,0.6688,0.8614,0.8857,0.9553
2233,0.6423,0.6725,0.8431,0.9370,0.9187
2234,0.6843,0.6961,0.8075,0.9389,0.9074
2235,0.6895,0.7370,0.8257,0.8837,0.9546
2236,0.6941,0.6690,0.9100,0.9006,0.8842
2237,0.6937,0.5903,0.9078,0.9446,0.9299
2238,0.6663,0.6643,0.8782,0.8715,0.9424
2239,0.6726,0.6410,0.9111,0.8685,0.9509
2240,0.6909,0.6543,0.8669,0.8760,0.9333
2241,0.7067,0.6480,0.8856,0.9061,0.9531
2242,0.7018,0.6621,0.8539,0.8947,1.0000
2243,0.6977,0.7051,0.9058,0.8446,0.9516
2244,0.6942,0.6665,0.8978,0.8842,0.8809
2245,0.6869,0.7310,0.8780,0.8500,0.9026
2246,0.6310,0.7136,0.8761,0.8798,0.9224
2247,0.6290,0.7656,0.8801,0.9130,0.9127
2248,0.6101,0.6740,0.8617,0.8742,0.8531
2249,0.6247,0.6527,0.8062,0.9000,0.8589
2250,0.6109,0.6223,0.8425,0.8713,0.8902
2251,0.6422,0.5965,0.8772,0.8667,0.8733
2252,0.6946,0.6616,0.9155,0.8465,0.8719
2253,0.6852,0.6374,0.9684,0.8645,0.8346
2254,0.6975,0.6847,0.9826,0.8526,0.8727
2255,0.6823,0.7128,0.9752,0.8391,0.8473
2256,0.6828,0.7474,0.9934,0.8848,0.8798
2257,0.7320,0.6799,0.9533,0.8691,0.8274
2258,0.6734,0.7061,0.8985,0.9163,0.8767
2259,0.6568,0.7476,0.9127,0.8423,0.8822
2260,0.6699,0.7708,0.8704,0.8608,0.9100
2261,0.6710,0.7530,0.8748,0.9226,0.9506
2262,0.6650,0.6839,0.8719,0.9165,0.9362
2263,0.6334,0.6893,0.8841,0.9604,0.9416
2264,0.6626,0.7108,0.8943,0.9453,0.8955
2265,0.6676,0.6919,0.8995,0.9775,0.9080
2266,0.6962,0.6908,0.8746,0.9570,0.9264
2267,0.7317,0.7251,0.8537,0.9317,0.8954
2268,0.7232,0.7267,0.8580,0.8637,0.8780
2269,0.7623,0.7702,0.8768,0.8440,0.8031
2270,0.7833,0.7621,0.8892,0.8529,0.8712
2271,0.7502,0.7408,0.8528,0.8346,0.9092
2272,0.7879,0.7629,0.8669,0.8123,0.9150
2273,0.7902,0.7742,0.8634,0.8562,0.8902
2274,0.8128,0.7524,0.8716,0.8422,0.9324
2275,0.7268,0.7829,0.8961,0.8571,0.9726
2276,0.7432,0.7229,0.9054,0.8663,0.9342
2277,0.7440,0.7080,0.8997,0.9165,0.9374
2278,0.7070,0.7851,0.8933,0.8641,0.9124
2279,0.6555,0.8120,0.8391,0.8951,0.9090
2280,0.6603,0.8191,0.8675,0.8269,0.9279
2281,0.6708,0.7617,0.8798,0.8440,0.8948
2282,0.6577,0.6833,0.8489,0.8615,0.9081
2283,0.6421,0.6780,0.8821,0.9305,0.9200
2284,0.6367,0.6987,0.8878,0.9034,0.9520
2285,0.6283,0.7388,0.9002,0.9174,0.9692
2286,0.6753,0.6933,0.9432,0.8901,0.9707
2287,0.6540,0.7020,0.9507,0.8879,0.8909
2288,0.6094,0.6918,0.9497,0.8577,0.9027
2289,0.6557,0.6986,0.9136,0.8430,0.8917
2290,0.6960,0.7145,0.8995,0.9058,0.9186
2291,0.6929,0.7016,0.8850,0.9194,0.9217
2292,0.6569,0.6808,0.9040,0.9187,0.9486
2293,0.6018,0.6793,0.9259,0.9562,0.9913
2294,0.6248,0.7019,0.9089,0.9378,0.9750
2295,0.6586,0.7193,0.8882,0.9640,0.9527
2296,0.6407,0.6802,0.8988,0.9747,0.9098
2297,0.6806,0.6437,0.8813,0.9517,0.9215
2298,0.6372,0.6889,0.8734,0.9442,0.9645
2299,0.6535,0.6472,0.9165,0.9783,0.9664
2300,0.5961,0.6377,0.8790,0.9015,0.9423
2301,0.5875,0.6451,0.8838,0.8830,0.9183
2302,0.5541,0.6587,0.9358,0.8826,0.8787
2303,0.6053,0.6663,0.8675,0.8688,0.9278
2304,0.6377,0.6959,0.8635,0.8789,0.9425
2305,0.7332,0.7486,0.8807,0.8606,0.9419
2306,0.7323,0.7357,0.9400,0.8716,0.9046
2307,0.7108,0.6968,0.8960,0.8623,0.9263
2308,0.6740,0.7068,0.8903,0.8968,0.9171
2309,0.7127,0.6959,0.8727,0.9310,0.9317
2310,0.7979,0.6818,0.9347,0.9600,0.8628
2311,0.8098,0.7101,0.9163,0.9402,0.8741
2312,0.7925,0.6683,0.8904,0.8717,0.8887
2313,0.7742,0.6574,0.8923,0.8826,0.9142
2314,0.7034,0.6603,0.9114,0.8410,0.8813
2315,0.7319,0.6965,0.9517,0.8882,0.8116
2316,0.7009,0.7177,0.9071,0.8984,0.8366
2317,0.6606,0.7465,0.9339,0.8911,0.8676
2318,0.6632,0.7130,0.9334,0.8828,0.8776
2319,0.6454,0.7673,0.9416,0.9060,0.8499
2320,0.6267,0.7418,0.8941,0.8787,0.9143
2321,0.6267,0.7522,0.8749,0.8784,0.9371
2322,0.5800,0.7472,0.8579,0.8527,0.9781
2323,0.5980,0.7124,0.8518,0.8751,0.9455
2324,0.6287,0.6989,0.8906,0.8829,0.8859
2325,0.6115,0.7188,0.9075,0.8733,0.8906
2326,0.6761,0.7328,0.8901,0.8468,0.8841
2327,0.6623,0.7372,0.8358,0.8713,0.8677
2328,0.6348,0.7675,0.8420,0.9233,0.9091
2329,0.6765,0.7950,0.8305,0.9328,0.8969
2330,0.6839,0.7677,0.8947,0.9215,0.8653
2331,0.7322,0.7264,0.8715,0.9416,0.8268
2332,0.7786,0.6824,0.8990,0.9111,0.8215
2333,0.7151,0.7019,0.9286,0.8820,0.8350
2334,0.7860,0.7484,0.9258,0.8582,0.8089
2335,0.6885,0.7452,0.8968,0.8494,0.8642
2336,0.6488,0.7296,0.8808,0.8635,0.8891
2337,0.6156,0.7573,0.9265,0.9321,0.8730
2338,0.6793,0.7166,0.9416,0.9753,0.8819
2339,0.7012,0.7096,0.9927,0.9674,0.8530
2340,0.7101,0.6724,0.9374,0.9554,0.8883
2341,0.6276,0.7005,0.9414,0.9577,0.9151
2342,0.6429,0.6628,0.9464,0.9619,0.9224
2343,0.7369,0.7041,0.9350,0.9228,0.8974
2344,0.7459,0.6899,0.9443,0.8824,0.9033
2345,0.7247,0.7572,0.9454,0.8805,0.9154
2346,0.7553,0.6701,0.9470,0.8601,0.8861
2347,0.7479,0.6857,0.9164,0.8838,0.9001
2348,0.7206,0.7019,0.8794,0.8036,0.9345
2349,0.6933,0.6865,0.8321,0.8343,0.9035
2350,0.7129,0.7588,0.8204,0.8844,0.9023
2351,0.7007,0.7980,0.9075,0.8448,0.8911
2352,0.7061,0.7974,0.8907,0.8118,0.8479
2353,0.6273,0.7598,0.9334,0.8372,0.8623
2354,0.6398,0.7320,0.9219,0.8554,0.8592
2355,0.6178,0.6941,0.9050,0.8728,0.8553
2356,0.6707,0.7123,0.9337,0.8675,0.9148
2357,0.6419,0.6522,0.9219,0.8541,0.8636
2358,0.6293,0.6659,0.9082,0.8727,0.8525
2359,0.5999,0.6779,0.9063,0.8490,0.8884
2360,0.6498,0.6468,0.8903,0.8503,0.9086
2361,0.6782,0.6747,0.9325,0.8341,0.9498
2362,0.6465,0.6670,0.9053,0.8285,0.9203
2363,0.6275,0.6753,0.9192,0.7877,0.9163
2364,0.6700,0.6779,0.9597,0.8266,0.9142
2365,0.7448,0.6654,0.9588,0.8895,0.9379
2366,0.7498,0.6634,0.9502,0.9369,0.9019
2367,0.7770,0.6897,0.9124,0.9116,0.8816
2368,0.7511,0.7290,0.8930,0.9071,0.8944
2369,0.7043,0.7495,0.9231,0.9180,0.9228
2370,0.6978,0.7723,0.8713,0.8984,0.9160
2371,0.7345,0.7065,0.9381,0.8604,0.8809
2372,0.7079,0.6772,0.9213,0.8786,0.8536
2373,0.6946,0.6483,0.9725,0.8669,0.8860
2374,0.7700,0.6221,0.9312,0.8860,0.9410
2375,0.8132,0.6256,0.9184,0.9010,0.9556
2376,0.7928,0.6016,0.8890,0.8733,0.9765
2377,0.8115,0.6125,0.8537,0.8993,0.9857
2378,0.7471,0.6107,0.8938,0.8689,0.9441
2379,0.7588,0.6740,0.8934,0.9051,0.9093
2380,0.7493,0.6745,0.9378,0.8900,0.9131
2381,0.7524,0.7374,0.9390,0.8850,0.9117
2382,0.6959,0.7804,0.8971,0.8610,0.9203
2383,0.6452,0.7556,0.8952,0.8707,0.8591
2384,0.6387,0.7398,0.8671,0.8569,0.8849
2385,0.6067,0.7568,0.8879,0.8511,0.8837
2386,0.5958,0.6954,0.8678,0.8481,0.8957
2387,0.7052,0.7236,0.8685,0.8930,0.9416
2388,0.7451,0.7691,0.8793,0.9399,0.9097
2389,0.7466,0.7266,0.8519,0.9440,0.9953
2390,0.7513,0.7242,0.8577,0.9083,0.9499
2391,0.7538,0.6999,0.9096,0.9087,0.9978
2392,0.7355,0.7334,0.9226,0.9174,0.9647
2393,0.7384,0.7822,0.9474,0.8959,0.9394
2394,0.7614,0.7197,0.8998,0.9377,0.9477
2395,0.7401,0.7183,0.8904,0.9122,0.9614
2396,0.7793,0.7263,0.8685,0.8538,0.9756
2397,0.7536,0.7439,0.8921,0.8690,0.9840
2398,0.7086,0.7124,0.8473,0.9080,0.9345
2399,0.7154,0.6922,0.8767,0.9269,0.9566
2400,0.7056,0.7447,0.9147,0.8962,0.9453
2401,0.6958,0.6829,0.9226,0.9579,0.9183
2402,0.7261,0.6910,0.9058,0.8862,0.8614
2403,0.7082,0.6754,0.9424,0.8633,0.8805
2404,0.6753,0.6695,0.9156,0.8560,0.9199
2405,0.6677,0.7339,0.9133,0.8587,0.8989
2406,0.6503,0.7275,0.9208,0.8718,0.9635
2407,0.6363,0.7707,0.8838,0.8373,0.9769
