HourOfYear,p_RegU_CAISO,loc_RegU_CAISO,p_RegD_CAISO,loc_RegD_CAISO,p_Spin_CAISO,loc_Spin_CAISO,p_NSpin_CAISO,loc_NSpin_CAISO,p_RMU_CAISO,loc_RMU_CAISO,p_RMD_CAISO,loc_RMD_CAISO
2466,16.4161,-0.4621,16.7659,0.2556,19.4175,-0.1737,21.1729,-0.0750,4.2912,-0.2368,3.3792,0.1118
2467,15.0792,0.0270,10.3889,-0.2914,11.9978,-0.2002,11.4679,0.2774,2.8510,-0.1533,2.8065,0.0913
2468,5.9449,-0.1508,15.0342,0.0453,8.5522,0.0639,17.1729,0.3982,4.0420,-0.0330,3.8149,0.1319
2469,4.8899,-0.5803,6.0435,0.0178,20.3044,0.2055,11.4563,0.2799,3.2405,-0.3117,3.4769,-0.0881
2470,9.7278,0.0940,9.2329,-0.0338,18.5801,-0.3417,17.5743,0.1413,2.9225,-0.0892,1.8667,0.0210
2471,14.3178,0.0604,11.3560,0.3164,3.1931,-0.1963,5.6684,0.1808,2.4360,-0.0960,0.9827,-0.3620
2472,7.5259,0.2806,13.9834,0.1206,10.4986,-0.2490,18.5050,-0.1077,1.8329,0.1593,3.1031,0.1552
2473,3.2476,-0.1390,11.7898,-0.1521,14.0190,-0.4094,4.1808,-0.0974,1.6488,-0.5437,1.1619,0.1398
2474,8.8002,-0.4648,11.7678,-0.1957,3.0000,-0.4317,15.2635,-0.3669,2.1994,-0.4084,3.2849,-0.1432
2475,11.5323,-0.2346,10.2962,-0.0347,17.8732,0.2945,7.3058,0.0478,1.7910,-0.2711,2.3633,0.0314
2476,7.7585,-0.4805,9.3753,0.2660,18.9927,-0.0984,6.1042,0.1356,2.4221,-0.1671,3.0925,-0.3074
2477,7.2398,0.3742,12.4675,0.1539,3.0000,-0.0393,15.2387,-0.1031,2.0377,0.3444,1.3187,-0.2276
2478,12.2310,0.2515,10.7820,0.0748,14.5315,-0.0992,15.2725,0.0329,1.9819,-0.0733,2.3413,0.3252
2479,5.7987,0.3208,12.2043,-0.1817,6.1010,-0.1299,3.0000,-0.3749,2.5097,0.3551,3.4794,-0.1313
2480,7.7875,0.1666,11.7453,-0.1039,9.9293,0.1131,9.0353,-0.1920,3.4642,-0.1760,3.8381,0.0813
2481,10.3421,-0.3501,9.5525,-0.5635,3.0554,0.2504,11.9348,0.2831,2.6747,-0.2009,1.4719,-0.1613
2482,12.7845,-0.1010,14.3464,0.2040,14.8313,-0.1143,6.9437,0.4700,2.6191,-0.2090,2.8588,-0.1355
2483,11.5404,0.1981,13.0363,0.1307,15.4314,-0.2351,13.1473,-0.1486,2.7425,0.2468,1.6953,-0.1527
2484,14.9861,-0.4248,11.2949,0.6596,9.6686,0.1610,9.0957,0.0805,2.3940,0.0565,5.0453,-0.1820
2485,13.3081,0.1102,8.5941,0.0618,19.1417,0.2310,16.0162,-0.2334,3.8839,-0.0014,0.7824,0.3071
2486,11.3751,0.1946,11.8682,0.2823,24.2021,-0.3271,10.2699,-0.5792,4.8109,0.1053,5.7302,-0.0399
2487,7.8607,0.5658,10.2607,0.1108,12.0442,0.1651,8.8820,0.0621,4.3412,-0.4750,2.8940,-0.2973
2488,15.1148,0.2389,12.9160,0.0008,7.6431,0.4117,9.3190,-0.1256,4.9607,-0.0340,3.4078,0.0179
2489,15.3257,0.1188,12.8188,0.1135,3.7200,-0.0485,8.5190,0.0052,4.3777,0.1595,4.7938,-0.7937
2490,10.4409,0.0071,10.2222,0.1217,20.1423,0.1382,10.1462,0.1768,0.7310,-0.6050,4.5336,-0.4215
2491,12.8497,0.1358,11.6197,0.0028,11.7174,-0.0715,11.4854,-0.1469,3.0865,0.0883,5.0106,0.2575
2492,13.3791,0.1526,12.6163,0.1394,12.4794,0.0759,5.5438,-0.1511,2.8737,0.1982,1.8006,0.3852
2493,15.9230,-0.5179,5.8425,0.3695,9.2613,0.2647,16.0292,0.0809,3.3012,-0.6206,4.8732,0.1007
2494,14.8679,0.0534,7.8327,0.0377,10.4483,0.0046,20.4356,0.2567,5.3159,-0.1207,1.5742,-0.2375
2495,11.1294,-0.6612,9.2772,0.2835,13.0646,-0.0323,9.6317,0.0281,2.3191,0.2526,1.5600,0.0655
2496,13.7492,-0.5635,14.6701,0.3036,11.1830,-0.0079,11.2822,0.0496,5.5525,0.4759,2.3644,-0.0619
2497,13.2340,0.0105,14.0839,0.0975,3.0000,0.0399,7.5583,-0.0434,3.0551,-0.0781,3.4788,0.0367
2498,10.2831,0.1196,5.0663,0.2331,11.2480,0.1311,5.9937,0.1913,3.2177,0.0572,2.6558,-0.0743
2499,12.7894,-0.3315,19.4640,-0.4754,6.3845,0.1744,15.3039,0.0566,1.6939,0.1721,3.8105,0.0681
2500,7.5218,0.2735,6.8805,-0.1050,13.3591,-0.1901,8.9718,0.0751,3.6672,0.3037,2.2861,0.2685
2501,12.7799,0.3799,6.7084,-0.0126,7.9820,-0.0336,11.5599,-0.3186,1.6740,-0.1777,1.8375,0.4884
2502,8.0210,0.2015,3.0409,0.0360,6.8492,-0.0201,8.6307,0.2803,2.1262,0.2262,1.6561,-0.0551
2503,6.1768,-0.0067,7.2499,0.1994,6.6830,-0.0319,11.0106,0.2254,2.0588,0.0299,1.3657,0.3260
2504,8.8445,0.0766,8.2155,-0.1668,3.0000,-0.2378,13.4845,0.2840,2.9779,-0.2095,2.8033,0.2059
2505,5.1633,0.0282,13.8051,-0.3378,12.3739,0.0018,20.9496,-0.1233,2.5913,0.3299,0.9966,-0.3502
2506,7.9573,0.0535,12.1937,-0.0025,18.0254,0.1232,16.4553,0.0458,2.8026,0.3213,1.8029,-0.2481
2507,14.1029,-0.2560,16.2817,-0.2929,17.9590,0.1805,8.8852,-0.5611,3.0650,0.0318,2.7008,0.1195
2508,12.9127,-0.0932,17.7505,-0.1392,13.3842,-0.1687,14.8333,-0.0516,3.2610,0.2279,3.4709,0.0305
2509,12.4141,0.0149,17.1905,-0.3227,10.9189,0.0949,13.9596,-0.0983,1.8754,0.3728,4.9881,0.2989
2510,12.7942,0.0843,16.7297,0.3640,9.7634,0.2939,13.0900,0.3316,3.6575,-0.5531,1.5295,-0.3168
2511,13.5450,0.1474,13.5304,0.0433,8.2363,-0.2763,10.7069,0.0019,2.4923,0.0175,4.5032,0.0798
2512,10.0679,-0.2496,11.4085,-0.1262,20.0221,-0.4322,13.1689,-0.1590,2.8585,-0.2521,4.4939,-0.3521
2513,15.4465,-0.0432,15.7450,-0.2088,11.7637,-0.2189,16.9425,0.0391,3.2366,0.0540,4.9683,-0.2311
2514,11.6954,-0.0671,9.7989,-0.1255,13.2387,0.1176,12.4052,0.0054,2.7583,0.0474,2.4970,-0.2597
2515,12.6939,0.4899,13.8098,0.3791,22.3450,-0.0747,18.1048,-0.5175,3.4839,0.2057,3.4736,-0.2351
2516,12.3886,0.0624,11.4404,-0.3719,11.9745,-0.1277,5.4956,-0.2453,4.2809,0.1399,3.0015,-0.1997
2517,16.3096,0.1684,9.9120,-0.0699,14.3685,-0.3254,7.7546,0.5337,2.3203,0.0601,2.4435,-0.2256
2518,5.9120,0.2491,4.4901,0.0491,21.2418,0.3517,3.9785,-0.0785,2.2813,-0.2075,2.9286,0.1612
2519,9.5727,0.2135,11.9839,-0.2552,9.1203,0.0780,15.2993,-0.1643,4.0818,0.7307,3.5365,0.2538
2520,11.3433,-0.5086,6.9211,-0.2332,14.9150,-0.2894,10.2625,0.2404,2.6884,-0.2846,4.1918,0.1171
2521,10.2247,-0.0446,12.0253,-0.2589,9.1738,0.4222,6.2387,-0.1424,4.0839,0.3894,2.5773,0.1317
2522,10.5034,0.1695,11.5466,0.0233,18.7128,-0.1030,3.7182,-0.0239,2.8994,-0.3519,3.8698,-0.2753
2523,4.0032,0.0325,9.6541,0.1400,13.3105,0.0672,9.9105,0.1335,2.2981,-0.0208,1.2267,0.2283
2524,8.2375,-0.4170,8.6536,0.2431,21.2953,0.0322,14.0190,-0.1064,3.6174,0.0794,1.4468,0.1928
2525,11.0625,-0.2609,5.7530,-0.0932,3.3851,0.2858,12.4443,0.2613,2.0756,-0.2271,2.1332,-0.0220
2526,11.3291,-0.2220,7.6080,0.1213,7.5096,0.2612,6.5120,0.1797,1.5844,0.1197,1.3250,-0.1108
2527,9.2988,0.0821,7.2184,0.2583,5.6378,0.1995,13.6529,-0.1101,2.2234,-0.1754,4.4013,0.0470
2528,10.7170,0.0585,7.5496,0.0887,10.2529,0.2500,14.2601,-0.1298,3.6800,0.1047,2.4294,-0.0404
2529,8.1521,0.3810,8.8452,0.0177,17.3289,-0.1704,5.3673,0.2432,3.8159,-0.3073,3.8224,0.0575
2530,10.7235,0.0032,6.6164,-0.1572,3.0000,-0.1603,11.2836,-0.0797,2.1636,-0.2126,3.0967,-0.1481
2531,11.1768,0.0509,8.7667,-0.1984,14.5761,-0.1310,8.6505,-0.3220,3.2280,-0.1792,4.7663,-0.0720
2532,10.9839,-0.3342,8.2913,0.3510,11.6563,-0.1305,8.3466,0.2902,2.1111,-0.0213,2.9086,-0.6930
2533,11.3047,-0.0390,13.5788,-0.0675,12.5881,0.0256,22.6903,-0.1445,4.3710,0.2558,3.1238,0.4235
2534,11.8081,0.5683,11.7271,-0.0211,11.2068,-0.0595,3.0000,-0.0940,2.8740,-0.0404,3.6673,0.0179
2535,13.6894,0.0855,8.9246,0.6370,7.3711,-0.1694,11.5845,0.4243,2.7551,-0.3266,3.4349,-0.2381
2536,12.7951,-0.1400,10.7939,-0.0681,27.9076,-0.0098,18.6583,-0.4182,4.4437,0.0660,3.3409,-0.3618
2537,7.5659,0.1039,7.4830,-0.0908,3.8327,-0.1525,3.0000,0.1705,4.6369,-0.0555,4.4202,0.1992
2538,13.7705,0.2605,13.4083,0.0527,14.4791,0.0129,22.3205,-0.1773,4.7124,0.1054,4.9765,0.2641
2539,10.0069,0.1244,10.3947,-0.3864,13.8071,0.3494,15.5280,0.0538,3.2168,0.2076,4.7114,-0.1818
2540,9.7846,0.2079,9.1168,-0.1328,15.3847,0.2517,7.4463,-0.1278,3.9615,-0.0015,3.1237,-0.0772
2541,15.0743,0.2398,17.3258,-0.1649,17.1784,0.0194,10.2237,-0.3760,3.6986,-0.2346,3.8054,-0.1230
2542,7.4573,0.0392,9.4680,-0.1901,11.9236,0.4206,13.7831,0.0862,0.9543,0.0257,2.2056,-0.0764
2543,8.1903,0.0823,11.9923,0.3353,19.4635,0.2588,5.9113,0.0099,2.9817,0.3270,3.2091,0.2905
2544,3.4699,-0.1496,9.1777,-0.2009,6.8936,0.2690,4.5526,0.1010,1.6567,-0.0002,3.2271,-0.1692
2545,16.2068,-0.1524,8.4572,-0.1744,17.8687,0.1224,10.0563,-0.2491,3.7796,-0.0568,3.4773,0.1782
2546,12.7542,-0.0201,10.6329,-0.0257,7.9337,0.2249,17.5894,-0.1352,2.3470,0.0726,1.5697,0.1264
2547,7.4894,-0.3311,6.9531,-0.1957,5.1017,-0.2738,17.5524,0.1582,1.4965,0.0216,2.3317,0.0900
2548,10.7858,0.0922,11.0289,-0.0765,12.7680,-0.1277,10.2236,-0.1147,1.3572,-0.0663,2.8302,0.0480
2549,3.4107,-0.1991,9.1684,-0.0991,7.8257,-0.2133,10.8221,-0.0521,2.8443,0.2701,2.2600,-0.3531
2550,12.3663,0.0447,10.1561,-0.0770,3.0000,0.2351,15.4238,-0.2906,2.5256,0.0952,3.4025,-0.6220
2551,5.7648,0.1293,11.4105,-0.3415,11.2156,-0.4801,8.6930,-0.0373,2.1051,0.2423,1.3923,-0.4880
2552,13.3768,-0.3292,8.7680,0.1710,7.6753,0.0598,4.2171,-0.4619,3.0015,-0.0714,3.3436,-0.4025
2553,12.5835,0.1025,11.9996,0.0865,20.9518,0.2909,6.2012,-0.1071,3.3717,0.1552,1.8635,-0.2364
2554,11.1262,-0.5163,11.4545,-0.0824,14.0399,0.2965,10.8364,-0.1949,5.2099,-0.2474,2.5981,-0.3140
2555,7.7174,0.1472,12.9148,0.0522,12.1077,0.0196,5.8667,0.0498,1.1443,0.0821,3.2337,0.0417
2556,9.1782,0.1506,19.0763,-0.1154,17.0839,0.0822,6.6457,-0.1096,1.7641,-0.1818,4.7684,0.0254
2557,11.3848,0.1676,8.2469,-0.0238,7.6594,0.1334,16.0499,0.2397,1.7394,-0.2346,2.3478,0.1867
2558,9.4084,0.0859,11.5221,-0.4710,22.1519,0.1951,11.9793,0.6051,5.4300,-0.0502,4.3907,0.2414
2559,9.7738,-0.1295,10.2980,0.1202,13.9473,-0.3171,19.6518,-0.0944,4.3524,0.3790,2.2394,0.4097
2560,17.2019,-0.1207,12.1133,-0.2651,12.4791,0.0909,13.3144,0.0652,3.8563,-0.1143,4.6346,0.0327
2561,12.4424,-0.1540,12.6376,-0.0444,16.4377,-0.4201,5.3143,0.2722,5.1680,0.3831,4.4624,0.2721
2562,9.0663,0.2574,13.8449,0.0770,16.4085,0.3277,11.1465,-0.0068,5.1613,-0.1400,2.7850,-0.3362
2563,13.1035,0.4227,14.8370,0.4474,10.3232,-0.8069,10.4900,0.0794,3.5483,-0.1007,3.2121,-0.0702
2564,11.2598,0.0211,10.9833,0.2179,17.2530,0.1195,12.9648,0.0005,3.0187,0.0798,3.3131,-0.0878
2565,5.6274,-0.2470,12.0693,-0.5205,8.9231,-0.1947,10.4992,-0.2818,2.1320,-0.0924,2.0057,0.3151
2566,9.4330,-0.0695,8.1935,-0.1651,14.1584,-0.3602,11.9886,0.1671,2.8303,-0.0598,1.5934,0.3105
2567,6.9569,0.2448,7.7135,-0.0649,3.3716,0.0459,11.7405,-0.0035,4.2732,-0.0214,0.7327,0.2716
2568,11.7185,0.1385,13.6211,-0.0909,12.4899,-0.1271,18.3479,-0.3428,2.4760,0.3919,3.4838,-0.2399
2569,8.7797,0.0085,9.8382,-0.4282,8.0511,-0.0521,14.8528,0.3148,2.4595,-0.5692,0.9693,0.1116
2570,9.8902,-0.0661,7.5581,0.2049,5.4725,-0.2274,15.2949,-0.0118,2.0666,-0.1996,2.0880,0.1977
2571,11.5841,-0.4221,4.9776,0.0906,5.1686,-0.7418,4.9609,0.0560,1.2241,0.0137,1.1417,0.3621
2572,15.4048,-0.0537,11.2688,-0.1644,3.0000,-0.2326,7.2354,-0.1823,1.5102,-0.2109,1.7418,0.1269
2573,15.0737,-0.0969,3.9580,-0.1445,10.6816,-0.0151,13.4419,-0.0052,3.0886,-0.0106,1.5741,-0.1517
2574,10.0436,-0.1053,4.7083,0.0090,12.4371,-0.0440,8.6949,0.0854,1.8948,0.6016,0.6104,-0.1801
2575,11.3707,0.0704,13.2632,0.2125,15.2202,0.0178,9.0658,-0.2284,4.3926,-0.7118,4.8138,-0.0028
2576,7.1835,0.4376,8.2963,0.1014,5.7496,0.1160,14.1221,0.3491,1.9902,-0.1726,1.5615,0.1650
2577,6.2839,0.0049,12.3366,-0.1624,12.2796,0.3563,3.0000,-0.0815,3.3776,0.1943,2.8764,-0.2657
2578,4.3670,0.1496,10.3496,-0.0639,14.1227,-0.2462,12.2805,0.0424,2.6148,-0.2806,4.2939,0.0895
2579,8.5505,-0.0152,13.7047,0.1348,18.1826,0.2760,11.5655,0.3717,2.6083,0.0021,3.3145,0.0109
2580,17.4892,-0.0153,16.1914,0.0718,25.4634,-0.1794,15.2293,-0.3109,4.0100,0.3318,4.9419,-0.0621
2581,16.7096,0.2852,15.8326,-0.2863,9.9671,0.3675,23.7486,-0.1609,3.5341,-0.2147,3.7649,-0.5700
2582,12.4402,0.0934,11.5465,-0.2209,17.6794,-0.0794,19.7250,0.0736,2.2156,-0.1536,4.5577,0.2145
2583,13.5292,0.1947,8.7616,0.2488,9.6330,-0.1757,14.8845,-0.2966,0.5000,-0.0291,4.2676,0.2944
2584,11.4283,0.3100,13.1704,0.2342,8.3644,0.2867,15.1800,-0.1463,2.1650,0.0424,3.3498,0.0743
2585,13.1093,0.0907,10.6896,0.1322,9.5889,-0.0719,10.9057,-0.3135,5.5703,0.2712,4.5512,-0.1231
2586,9.5301,0.0611,10.1236,0.1772,14.3343,-0.5749,19.5533,-0.3856,3.2984,0.0155,3.2577,-0.1243
2587,8.8562,0.1842,16.8731,-0.3592,12.0028,0.1237,8.7923,-0.0285,4.0805,0.4150,3.5490,0.1551
2588,13.6281,-0.1622,14.3362,-0.4645,15.9985,0.0266,12.7933,0.0199,1.9204,0.3596,1.1220,0.1658
2589,9.2177,-0.1579,10.1844,-0.1564,3.0000,-0.3028,9.2626,0.1370,5.2732,0.2885,3.3995,-0.1194
2590,12.7022,-0.1897,10.9232,0.2047,12.7764,0.2740,10.0024,-0.0514,4.2488,-0.1118,3.6573,-0.1057
2591,11.3732,-0.1226,10.3159,-0.0555,8.8635,-0.2349,20.3711,0.5601,3.0106,0.0900,3.1953,-0.4076
2592,14.4107,-0.2967,10.7002,-0.0770,3.0000,0.1356,11.0376,0.0387,0.6060,0.1763,2.4766,-0.1182
2593,11.7647,-0.4141,8.8103,0.6974,8.0208,0.1469,9.6341,-0.0430,2.1027,-0.1763,2.7149,-0.0357
2594,10.6072,-0.2054,13.1152,0.0528,8.4718,0.8699,8.7634,-0.2204,1.0482,0.3150,2.4507,-0.1639
2595,5.9392,-0.5880,10.1948,-0.0497,19.7231,0.0110,8.7814,-0.6586,2.5989,-0.1881,1.9637,0.1785
2596,6.2889,0.0710,5.0944,-0.1086,4.7448,-0.2772,4.4425,0.6113,1.2946,0.1371,1.3671,-0.2390
2597,8.7901,0.0247,13.2766,0.1474,5.6449,-0.0139,13.5883,-0.0833,0.7355,0.3910,1.0531,0.3375
2598,9.7708,0.1853,11.0163,0.1014,8.7949,0.4577,11.6442,0.1010,0.9200,0.0413,1.7346,0.4779
2599,12.4898,-0.2331,11.6622,0.0138,22.3360,0.4193,3.0000,0.4070,1.4946,-0.2768,2.8203,0.3212
2600,10.0891,0.1247,3.9533,-0.2733,20.5963,-0.2605,5.9662,-0.3224,0.7228,-0.3563,2.6829,0.0688
2601,5.6451,-0.2021,8.6002,0.1158,6.8442,-0.5285,4.5036,0.0020,3.3650,0.4075,2.1224,-0.3534
2602,12.7566,0.1935,8.8100,-0.1826,7.1391,-0.0275,11.1208,0.3645,3.6292,-0.1713,1.1668,-0.1181
2603,9.0449,-0.4555,2.0000,-0.2210,12.5718,-0.1993,13.3811,-0.0627,3.0393,-0.1057,2.0968,-0.0222
2604,8.4602,-0.0593,10.1385,-0.0323,8.5147,-0.0255,9.4306,0.0278,1.9746,0.0711,1.8486,0.0881
2605,7.8820,-0.0998,10.7675,0.1108,21.0720,-0.1344,8.7582,-0.0839,3.7181,0.2962,0.9650,-0.2167
2606,10.7782,0.1992,15.5868,0.1071,21.3628,0.2676,5.6468,0.0339,4.2418,-0.0609,4.6019,-0.2313
2607,10.0853,0.1955,10.0442,0.6837,8.8344,0.2483,19.6873,-0.2292,2.5874,-0.2780,1.3226,0.1583
2608,14.1899,0.3047,8.2602,0.1106,11.1959,0.5217,6.3537,-0.0707,2.5035,0.0257,1.5195,-0.1536
2609,12.2848,-0.5036,11.0411,-0.1009,14.0403,-0.1294,16.3737,-0.0369,4.8329,0.3993,4.7505,-0.4330
2610,14.9176,0.3741,14.0647,-0.1660,13.1946,-0.2760,10.6902,-0.3376,1.7159,-0.0868,4.9264,-0.1820
2611,7.2971,-0.2314,16.1581,-0.0687,14.7584,0.2252,13.8338,0.2236,3.0125,0.0004,2.9133,0.1044
2612,13.3598,0.4270,11.1220,-0.0912,9.0143,-0.0507,19.8801,-0.1809,4.0166,0.5834,3.8087,-0.2955
2613,13.4437,0.5559,9.7847,0.4026,17.6302,0.2816,20.4406,0.0572,2.5991,0.0005,2.1382,-0.0401
2614,6.9384,0.2978,10.7556,-0.2335,19.8371,0.0701,16.8561,-0.1264,4.3358,0.3266,3.3993,-0.0778
2615,8.7573,-0.2143,13.3317,-0.1029,17.4123,0.1905,8.8439,-0.5600,2.6837,-0.1421,3.3650,-0.3781
2616,9.0493,-0.3111,14.5240,0.4226,7.8814,0.0113,14.2720,0.1140,4.6330,0.3245,2.7874,0.2496
2617,9.0181,-0.1763,13.1742,0.2256,10.0584,-0.1396,7.6194,0.2524,1.4818,0.0505,2.1864,0.3313
2618,7.8145,0.1426,9.5942,-0.1508,11.1956,0.4704,5.6657,0.2622,1.6257,-0.0369,2.2069,0.4911
2619,9.2390,-0.2658,11.3594,0.4603,13.3785,0.0930,12.1990,0.2051,3.9768,0.3264,2.5244,-0.3405
2620,12.5351,-0.4646,12.9857,-0.4748,7.5894,-0.1079,11.5138,-0.0142,1.0648,-0.5742,3.7368,-0.2415
2621,8.2869,0.2703,9.7487,-0.0550,7.2690,-0.3595,6.0784,0.5264,1.2227,-0.2741,1.0173,0.1002
2622,10.9692,-0.1501,12.1203,-0.0296,9.8530,-0.0118,8.2758,0.0176,2.4282,-0.3981,2.3325,-0.5198
2623,10.2265,0.2286,12.0015,0.1284,7.7119,-0.2369,14.2830,0.1187,3.5155,-0.1476,3.5774,-0.3358
2624,2.0622,0.1929,12.5282,-0.2022,19.0735,-0.1249,6.6467,0.3491,3.3499,-0.0673,3.5776,-0.2642
2625,8.0730,0.0494,12.9269,-0.1597,19.2338,0.3917,14.2205,-0.0624,2.6414,-0.2227,3.7917,-0.0109
2626,12.8636,0.2098,16.1116,-0.0955,14.2424,0.3273,9.4371,-0.0466,1.9854,0.2885,2.3136,-0.0756
2627,9.3105,0.3702,9.5213,-0.0855,15.4693,-0.2601,7.4315,-0.0823,3.5560,-0.0386,1.8170,-0.0198
2628,8.6429,0.1910,15.7995,0.5517,18.7818,-0.2403,12.5596,-0.1084,4.1484,-0.0655,3.3951,0.4359
2629,14.4707,0.1978,11.9436,0.3867,12.3591,0.2189,12.5730,0.2184,3.6176,0.0640,2.8845,-0.1471
2630,12.1082,0.0969,11.4852,-0.2934,16.4730,-0.4104,8.7108,-0.1193,3.5586,-0.2030,3.5901,-0.2880
2631,16.8416,-0.1083,10.8081,-0.0305,4.4619,0.1506,15.2989,-0.2241,3.1606,0.4378,2.4010,-0.3504
2632,11.3518,0.0771,13.5788,-0.4926,15.8081,-0.2126,19.6889,-0.0865,2.7008,-0.1177,3.7056,0.1167
2633,16.2058,0.0523,11.0365,-0.1382,15.7809,-0.2056,23.7988,0.0922,4.0196,-0.0411,1.9981,-0.0265
2634,9.9688,0.1223,12.1492,-0.0627,9.4549,0.0875,19.1740,-0.3274,4.1874,-0.0087,5.3752,0.1746
2635,5.8231,0.0834,9.1724,-0.2020,20.6784,-0.1715,18.5132,-0.2887,4.6904,-0.1461,3.6143,-0.1111
2636,14.8402,-0.1143,13.1349,-0.2850,9.3821,-0.4072,16.0654,-0.3923,3.4814,-0.1748,4.7814,0.1795
2637,13.5702,0.2849,9.1437,-0.0874,5.9659,0.1109,17.0434,-0.0781,3.0236,-0.1175,1.1300,-0.2298
2638,14.0719,-0.1318,11.5527,-0.2977,17.3814,-0.2431,24.3211,-0.5521,4.2833,0.0539,2.1084,-0.0611
2639,9.5666,0.0986,10.2146,0.0734,12.1199,-0.2778,10.8298,0.5312,2.2658,-0.1544,1.3153,0.1414
2640,15.2732,0.1288,8.1030,0.0326,11.9742,0.1152,9.9434,0.3951,4.1393,-0.0975,4.0329,0.1749
2641,14.1672,-0.2625,8.7573,-0.4654,11.7342,-0.2703,12.3018,-0.2515,3.8027,0.1788,3.3969,-0.3452
2642,12.2158,0.3905,8.4016,0.0903,14.8037,-0.2017,8.1534,0.0509,2.8627,-0.1417,3.8426,0.4127
2643,9.3969,-0.0103,7.0198,-0.2712,5.0517,-0.1883,12.6937,-0.0045,2.0311,0.0942,2.8688,-0.1319
2644,4.9893,-0.2484,9.3997,0.0072,11.9325,0.2099,10.4045,0.0683,3.1777,0.0891,1.6054,-0.4488
2645,8.8555,0.0001,8.2330,-0.2924,3.2819,0.0184,14.7954,0.6099,4.4498,0.0803,5.1634,-0.4388
2646,10.0122,-0.2436,11.7091,0.3020,7.7263,-0.0450,8.4158,0.0222,1.4741,0.1957,3.6972,0.1154
2647,15.4943,-0.1450,9.6446,0.0401,12.2493,-0.0372,3.3830,0.0253,2.4197,-0.2911,4.3025,0.1015
2648,9.6577,-0.1499,9.8447,0.1125,8.1186,-0.2308,9.5477,-0.4565,2.3440,0.1172,1.0395,-0.0417
2649,7.0994,-0.0340,9.9432,-0.3904,12.3881,-0.1457,12.1912,-0.0472,2.2124,0.0914,2.8153,0.0300
2650,12.6678,0.3412,6.6031,-0.0346,16.1128,-0.0113,14.1678,0.1653,3.1304,-0.3517,2.8948,-0.0727
2651,14.0707,0.0266,9.9597,0.1871,12.3023,-0.3764,14.8148,-0.3281,4.2723,0.2982,1.6346,-0.1693
2652,17.6339,0.0411,6.4999,0.6686,11.5489,-0.1933,15.1277,0.0246,4.6983,0.1634,4.5416,-0.3558
2653,11.7944,-0.1193,10.7055,0.2313,7.8877,-0.3131,10.4394,-0.2135,3.2887,0.2538,3.6249,0.2511
2654,12.2184,0.0708,14.5275,0.3354,12.4623,0.5415,16.7754,0.0453,2.5037,0.0529,4.0148,-0.1149
2655,7.5567,-0.0083,8.3573,0.1613,22.6930,0.0143,11.7609,0.4306,4.9201,0.1550,2.9613,-0.0082
2656,11.2663,-0.0210,6.6495,-0.2819,9.6854,0.3877,9.5743,-0.3775,4.2007,-0.2232,2.7356,-0.0457
2657,12.9676,0.1768,9.4073,-0.0391,8.2735,-0.0854,10.6798,-0.0130,3.5176,-0.0585,3.4448,0.1420
2658,8.5346,-0.2354,13.5725,0.4015,3.3042,-0.2876,9.0648,0.0861,3.7331,-0.4223,2.3597,-0.2921
2659,18.5617,0.3166,11.0545,-0.0108,11.8540,0.2266,17.7420,0.0421,3.3931,-0.4513,4.3573,-0.1548
2660,11.3983,-0.6739,8.5550,0.2828,13.1669,-0.1003,11.9103,-0.2974,4.2501,0.1278,5.1667,0.1827
2661,11.2236,-0.0233,9.3388,-0.1275,7.0567,-0.0846,9.8269,0.3042,3.0676,0.0848,2.2647,0.2985
2662,11.7391,0.3397,12.2178,-0.1001,5.9330,0.0816,10.8631,-0.3821,3.3807,-0.0463,2.9156,0.0396
2663,14.8326,0.3017,10.4329,-0.3805,8.8031,0.0844,16.3231,-0.3216,0.5000,-0.0139,3.2216,0.1580
2664,10.6994,0.0396,12.3006,0.4247,5.2040,0.2690,16.6009,-0.3479,2.8465,0.1317,2.9352,-0.1902
2665,7.3934,-0.2025,8.9329,-0.2725,7.7144,0.0222,13.8602,0.4345,2.3501,0.2719,2.3179,-0.7598
2666,10.1812,-0.0334,4.3935,-0.0376,9.7868,-0.0129,11.1017,0.0207,3.2938,0.0064,1.8124,-0.1555
2667,13.7216,0.6479,15.3496,-0.1044,10.7980,0.3057,4.3645,0.5479,3.2838,-0.1596,1.4084,-0.2484
2668,5.9475,0.1772,9.7814,-0.0642,5.3765,-0.1342,4.3278,0.4614,3.8994,-0.2278,2.0565,-0.1844
2669,12.3207,-0.4251,13.9347,-0.3128,5.8918,0.2675,14.7268,0.4519,0.5000,0.6208,3.7591,-0.0921
2670,10.7910,0.0207,9.7372,-0.2697,13.9623,0.1542,9.9815,0.3659,2.0028,-0.0610,4.8272,0.1294
2671,9.4733,-0.1497,8.3540,-0.1673,3.0000,-0.0092,12.1682,0.0208,1.4424,0.3990,2.4390,0.0280
2672,8.4668,-0.3175,14.6339,0.2221,15.5435,-0.0128,17.5198,-0.0426,2.2981,0.1858,1.8721,-0.2977
2673,9.7911,0.1207,15.0811,0.0940,19.9132,-0.1873,16.9832,0.1779,2.7333,0.2516,3.8173,0.2335
2674,11.5373,-0.2426,6.2384,-0.2398,8.9298,0.1136,7.3742,0.3520,2.8985,-0.5180,2.4305,0.2570
