HourOfYear,p_Reg_MISO,loc_Reg_MISO,p_Spin_MISO,loc_Spin_MISO,p_Sup_MISO,loc_Sup_MISO,p_STR_MISO,loc_STR_MISO
2303,7.3948,0.1410,3.0000,-0.0121,8.2666,-0.5088,16.8748,-0.1637
2304,11.7825,0.0853,25.5990,0.1656,12.3193,-0.1158,7.9203,0.0103
2305,13.9870,0.6122,11.4187,0.3884,19.6949,0.0593,20.7196,-0.2133
2306,10.8386,0.0486,21.1010,-0.0157,15.5136,0.4703,9.2463,-0.0018
2307,10.7935,-0.1074,13.7702,-0.2321,7.2401,-0.2853,15.9970,-0.1522
2308,11.5795,-0.2578,3.0000,0.0697,11.9766,-0.0599,14.9388,0.2078
2309,8.0823,0.2465,6.3843,-0.0705,5.5050,-0.1784,13.1158,0.2911
2310,8.9145,0.6607,20.7655,-0.1123,15.6451,0.4742,14.1850,0.3316
2311,10.3884,0.2523,6.2193,0.1816,11.5211,-0.0740,3.0000,-0.0232
2312,15.2792,0.0529,13.4934,-0.2969,25.3754,-0.1864,9.1942,-0.4993
2313,11.1191,0.0174,10.5727,-0.1345,14.5757,-0.0068,3.0000,0.0251
2314,10.3812,-0.4079,3.0000,-0.0491,16.7459,0.1475,13.6059,-0.4074
2315,8.4986,0.2199,22.2310,0.2051,11.1297,0.3815,9.5114,0.2653
2316,9.9590,-0.1795,5.5954,0.1535,10.4219,-0.2613,3.7081,0.0599
2317,12.2736,-0.3004,13.1535,0.2452,11.3194,0.2521,5.5486,-0.0679
2318,11.4867,-0.0468,7.4846,-0.1734,9.6292,0.0808,11.9263,-0.0948
2319,8.7255,-0.1948,17.3537,0.4291,22.7493,0.1549,10.2178,0.1594
2320,13.3294,-0.2310,12.8089,-0.0795,7.2383,-0.3113,13.8947,-0.2240
2321,14.1372,-0.1222,21.0426,0.1476,14.5934,-0.1825,11.2121,-0.0556
2322,10.7187,-0.4727,25.0590,0.0499,9.6278,-0.2120,16.4009,-0.2785
2323,11.4373,-0.0651,18.9160,-0.1828,14.6817,-0.1587,7.8559,0.0776
2324,9.5853,0.0603,17.0042,-0.0806,13.4605,0.2195,15.1873,0.0055
2325,8.1194,-0.2474,9.2818,0.1478,10.3880,0.1243,16.4399,-0.1262
2326,11.1060,0.3368,10.2836,0.1362,15.7107,-0.1334,18.1285,-0.2985
2327,7.1490,-0.1431,14.2091,0.0876,15.4189,-0.4999,16.7103,0.0812
2328,10.8160,-0.2695,10.4998,0.2891,15.4651,-0.1061,9.4793,0.3830
2329,8.5034,0.2042,18.3612,0.3189,11.5914,-0.2461,4.5405,0.1412
2330,11.9922,0.0161,18.1272,-0.0460,6.6566,0.3881,6.3858,-0.0164
2331,8.4233,0.3355,10.8805,-0.1972,5.4347,-0.2164,6.8237,0.2297
2332,3.8412,0.4018,5.6574,-0.2860,5.7677,0.1698,3.0000,-0.1633
2333,6.9632,-0.3454,7.0248,0.1172,8.6465,0.2565,3.0000,-0.2267
2334,8.7763,0.5566,13.3261,0.3521,10.6938,0.0465,6.5819,-0.2535
2335,4.8994,-0.5879,5.0744,0.0567,12.0844,-0.1889,6.6954,-0.1810
2336,5.1339,-0.3171,15.2534,-0.0420,11.0795,-0.1478,16.3583,-0.0037
2337,8.9382,-0.3342,7.0635,0.2571,11.4795,0.3521,5.1607,0.5092
2338,11.9354,0.3372,8.0933,-0.2097,7.5549,0.1984,12.6088,0.4585
2339,11.2409,0.1298,7.8387,-0.0247,3.0000,0.5508,6.3997,0.1189
2340,9.5526,0.0691,5.4640,-0.2630,10.6035,-0.2521,11.5595,0.0640
2341,8.3789,-0.6024,20.0947,0.1648,19.4785,0.1283,15.2221,0.1587
2342,8.3264,-0.0057,14.8461,-0.2823,15.0279,0.1475,7.1624,0.1806
2343,12.3980,0.6095,9.4431,0.2484,7.3143,0.0160,19.9018,-0.1876
2344,10.8627,0.1289,10.1729,-0.1000,13.8889,0.1686,12.5037,-0.2964
2345,11.7247,-0.0820,17.9554,0.4883,4.7962,0.1202,10.1287,-0.0607
2346,14.1909,0.2703,13.1063,-0.5580,15.7917,0.1275,14.4173,-0.2269
2347,9.1590,0.0364,16.2942,0.0673,13.3535,-0.1502,15.5716,0.1074
2348,11.0446,-0.1250,10.9104,0.0975,6.2649,-0.2827,15.0033,-0.7422
2349,11.9467,-0.1698,17.0394,-0.1126,11.7465,-0.4651,17.2037,0.0273
2350,7.9900,0.1356,7.6818,0.5202,7.5055,-0.2721,11.1836,0.2744
2351,8.5892,-0.0703,7.6989,0.3920,17.2622,0.5630,3.7804,-0.3854
2352,11.5294,0.0418,11.0666,0.1589,20.0306,-0.1284,20.3527,-0.4265
2353,9.5200,-0.5809,14.3867,-0.1201,3.3846,0.3505,16.0170,0.0011
2354,6.1027,-0.0274,6.6265,-0.1090,8.1120,-0.0175,3.0000,0.0025
2355,7.3682,-0.2650,9.8789,-0.2303,6.1664,-0.0930,7.7604,0.0410
2356,5.6322,0.2593,10.4452,0.1262,6.4406,0.2634,5.7051,-0.1146
2357,7.5979,-0.2648,6.5145,-0.4303,13.4956,-0.0187,4.5182,-0.1984
2358,6.2127,-0.1913,6.4558,0.0236,9.8691,-0.0652,7.9119,0.0479
2359,8.1817,-0.3381,8.6913,0.0332,9.6157,0.0037,11.5068,-0.2758
2360,14.8816,0.2072,16.4473,-0.2707,12.4885,-0.1238,6.7273,-0.1158
2361,9.8186,0.1293,6.1135,0.1208,8.2473,0.3448,11.7213,-0.2664
2362,19.9238,-0.2741,24.7862,-0.0998,15.2223,-0.1566,32.1264,-0.2140
2363,9.9250,-0.2315,11.9191,0.0073,12.5460,0.1352,14.5073,-0.5357
2364,6.3775,0.1982,14.0670,-0.0215,3.0000,0.4018,17.0438,0.0600
2365,10.1885,0.5107,18.4435,-0.1308,3.4745,0.1413,12.5632,0.3667
2366,9.4551,0.1120,14.2241,-0.0728,3.2163,0.0716,5.0023,0.3883
2367,8.2258,0.2871,5.9649,0.1362,6.1550,-0.2054,20.4037,-0.1286
2368,9.2359,-0.0660,5.9952,0.2781,8.6705,-0.1385,6.4540,-0.0111
2369,11.7103,-0.2656,18.4396,0.2020,13.3905,0.2461,7.4027,0.1137
2370,10.5129,-0.0419,8.4090,0.2532,15.0481,-0.3953,15.4055,-0.1268
2371,12.6281,0.2715,12.2382,-0.3731,11.4622,0.5123,9.7357,-0.3363
2372,10.5852,-0.1416,7.0318,-0.2085,8.4911,-0.0519,3.1125,0.0600
2373,11.0686,-0.0866,12.6990,-0.2548,4.5438,0.5014,16.9292,-0.1561
2374,10.0583,0.5562,13.7445,-0.2830,10.8390,-0.1802,3.0000,0.0850
2375,13.4709,0.4410,14.0877,-0.1034,13.7484,-0.0338,12.3307,0.0962
2376,8.4116,0.0358,11.8007,-0.3036,15.8947,-0.2109,9.8917,-0.2404
2377,7.4089,0.2948,3.7432,-0.0828,14.3706,-0.3369,15.2664,0.1608
2378,7.5349,-0.2972,6.1584,-0.1592,15.9068,0.2351,9.6875,-0.2679
2379,9.8848,0.1662,6.5007,0.3259,9.4705,-0.0187,6.0114,0.2392
2380,10.4599,0.0267,14.2792,-0.0392,16.4165,0.3720,11.2095,-0.1191
2381,6.8212,0.1054,5.8365,0.4289,6.0024,0.1052,11.8576,-0.0688
2382,10.5025,-0.3361,3.0000,0.3850,3.0000,-0.2692,7.9890,-0.2478
2383,6.5609,-0.3875,13.9678,-0.0519,14.1577,-0.0238,4.4315,-0.0126
2384,10.7577,-0.1401,12.1745,-0.0260,10.4973,-0.2581,14.1172,-0.1940
2385,10.1186,-0.3417,7.5316,0.1937,9.8915,0.0995,8.9786,-0.1585
2386,9.1145,-0.2374,4.3712,-0.3656,10.4455,-0.2057,5.1745,-0.1486
2387,10.7778,0.6465,9.0265,0.2041,5.7372,-0.0745,12.0606,0.2631
2388,9.2103,0.3079,10.9985,0.3802,5.4477,0.0158,5.2129,0.3926
2389,11.2955,0.0866,16.2476,-0.2038,12.6259,-0.2919,10.7179,0.1355
2390,16.9533,0.1125,22.7388,0.0265,16.7756,-0.0690,16.7538,-0.2023
2391,11.8932,0.1043,12.7930,-0.1416,10.2391,0.3481,5.4406,0.0242
2392,8.8613,-0.0477,15.6955,0.2508,3.0000,0.1381,10.1492,0.0978
2393,9.2052,0.0809,4.3225,0.4218,3.5702,0.2733,9.5644,-0.1442
2394,13.3791,0.2367,7.3675,-0.3318,9.6051,-0.2982,15.5633,0.3552
2395,9.5560,-0.0577,18.5168,0.0223,14.2222,-0.0828,21.9370,-0.1284
2396,13.9540,0.3610,5.1933,0.0908,10.8011,-0.2155,10.2136,-0.4809
2397,11.6733,-0.0608,7.9045,0.1759,9.4410,0.1280,10.7571,0.0172
2398,16.8572,-0.2481,35.1086,-0.1636,23.7254,-0.4117,35.5405,0.2641
2399,11.9974,0.0656,13.4433,-0.1305,13.4435,0.1250,14.2553,0.1854
2400,4.1090,-0.0481,6.6902,0.3805,19.4731,0.2747,14.5544,-0.2011
2401,7.9932,-0.0638,16.8353,-0.3885,19.4781,0.1058,3.0000,0.5303
2402,11.2454,0.2200,4.9691,0.0318,7.7368,-0.0906,9.7898,-0.4824
2403,3.9222,-0.0908,10.5293,-0.1315,3.9161,0.3349,4.0898,-0.2350
2404,13.7002,-0.2333,17.2096,-0.0858,6.4927,-0.1289,8.0122,-0.1561
2405,11.9871,-0.0976,12.7519,0.4324,3.9185,0.0189,8.8302,-0.0858
2406,6.9875,-0.1849,3.2047,0.0082,8.7547,0.0986,11.4665,0.0110
2407,12.0157,-0.1877,12.5915,0.3702,8.2963,-0.2718,9.8413,-0.3724
2408,4.6662,0.2447,10.0019,0.3519,7.5105,0.3905,5.7608,-0.0783
2409,7.1203,-0.2556,14.5923,0.2775,4.8754,0.0738,8.6064,0.1580
2410,5.3639,0.0296,16.2846,-0.3598,9.3685,0.1730,19.4980,0.0323
2411,5.2077,-0.0831,4.5364,-0.0028,18.2670,-0.0890,9.5784,-0.0013
2412,9.9316,-0.0275,15.7158,0.2929,14.9938,0.0196,9.4622,0.2187
2413,10.1544,-0.5092,17.2023,0.3071,9.8474,0.0495,7.0451,-0.1740
2414,10.3905,0.1610,13.6807,0.0378,16.2545,-0.0005,7.0455,0.0036
2415,11.4408,-0.0702,21.8163,0.0639,14.3899,0.1438,11.7989,0.0421
2416,10.9741,0.2429,14.7304,-0.2390,6.7214,-0.0160,6.9591,-0.4676
2417,8.0642,0.0999,22.5042,-0.6326,18.9534,-0.2352,17.0668,-0.6193
2418,9.6232,0.0121,5.6179,-0.1955,13.2603,-0.1544,13.9645,0.3042
2419,3.9283,0.0019,18.0938,0.4361,6.7414,-0.2376,16.7631,0.2599
2420,12.4880,0.5599,3.0000,-0.3031,12.3075,0.0277,7.8906,0.0547
2421,11.0065,-0.2008,15.2444,0.0712,4.7866,0.5365,14.9719,-0.2561
2422,10.7618,0.0730,7.4784,0.1886,10.1390,0.0205,10.7522,0.2865
2423,11.5823,0.0597,15.1362,-0.1601,14.2207,-0.2884,20.2688,-0.4086
2424,11.5964,-0.4034,9.0380,-0.1042,4.6266,-0.0503,6.6719,0.1468
2425,7.5821,-0.0147,9.4239,-0.0904,5.8008,0.0464,10.2239,-0.0568
2426,19.2298,-0.3894,26.8718,-0.0063,33.1500,0.3446,34.5231,-0.1444
2427,13.0880,-0.0170,18.7833,0.1357,9.7240,0.3862,14.6923,-0.2070
2428,7.2935,-0.4057,8.5826,0.1441,17.6040,0.0639,11.5886,0.0117
2429,13.2101,0.0953,6.6209,-0.2531,18.4393,0.3549,3.9284,-0.4339
2430,7.7471,-0.3150,3.0000,0.3424,10.1808,-0.2999,3.0000,0.1661
2431,4.4027,-0.0030,6.1777,-0.0185,19.4070,-0.0367,17.1697,0.1520
2432,8.7649,-0.4061,4.4754,-0.5860,3.0000,0.3587,8.5038,-0.0193
2433,8.3521,0.1189,10.5223,-0.2912,5.6607,-0.1481,9.9833,0.1546
2434,6.0435,-0.0196,9.5544,-0.0861,10.9947,-0.3949,15.6165,0.0279
2435,9.6713,-0.0460,3.0000,-0.1792,17.4608,-0.1882,17.6996,-0.1226
2436,8.6225,0.0350,9.7387,-0.2850,10.4458,0.1746,15.0850,-0.1367
2437,14.8822,0.1309,3.0000,-0.0316,10.2410,-0.1880,3.0000,-0.1379
2438,13.3057,-0.2148,17.9636,0.3295,4.7201,-0.3282,8.4009,0.0221
2439,8.0098,-0.0043,11.8488,0.1446,9.6213,-0.3323,11.5986,0.0625
2440,8.0785,-0.1166,5.5265,-0.2334,9.2857,0.1635,12.2634,-0.0965
2441,14.1438,0.3255,14.0194,0.4428,17.1912,0.5715,12.1331,0.2639
2442,14.4565,-0.1021,19.8560,0.2110,11.2285,-0.0211,17.4553,0.2048
2443,9.1568,-0.2011,10.7271,-0.2604,11.8612,-0.0560,6.9342,0.3777
2444,9.6204,-0.3761,13.9928,-0.2407,13.1119,0.0025,10.4217,0.5496
2445,9.7024,-0.0669,16.1364,-0.0269,3.3489,-0.5574,15.1191,-0.1059
2446,10.8883,-0.1727,9.5207,0.1199,10.4045,0.0008,10.8823,0.0170
2447,11.7351,0.0903,7.5381,0.2731,14.9288,0.1688,10.6222,-0.1891
2448,11.3424,0.0555,6.7075,-0.3714,4.2148,0.0610,6.0779,0.3412
2449,6.2450,0.1328,13.5671,-0.0075,9.8700,0.1195,9.5827,0.0658
2450,7.8254,-0.3148,10.4128,0.0587,15.3436,-0.0548,7.0985,0.0393
2451,3.2344,-0.6832,11.3155,0.0685,13.4326,-0.4718,9.6379,-0.1466
2452,8.3385,-0.0002,3.1030,-0.1277,12.9295,-0.1564,3.0000,-0.1968
2453,5.2770,0.2058,17.1060,0.0762,10.6275,0.1616,8.4755,0.3845
2454,6.6280,-0.0984,13.6353,0.1679,10.8680,0.1027,3.9458,-0.1291
2455,12.0174,0.4463,5.5806,-0.4120,6.7004,0.0893,7.5238,0.1160
2456,10.7950,-0.0309,14.0957,-0.0044,8.7544,0.1582,18.1645,-0.4850
2457,9.8671,-0.1840,5.6914,-0.5298,10.7901,0.1121,9.1469,-0.3554
2458,9.6522,0.1041,3.8349,-0.3680,12.5541,0.2313,12.2805,0.2405
2459,13.5459,0.3453,14.0001,-0.3558,14.5516,0.1648,9.3163,0.0778
2460,8.7129,-0.0108,13.6675,-0.2548,13.2652,0.3492,11.8087,-0.0829
2461,10.7357,0.1884,15.4515,0.1083,18.0868,0.1943,13.1541,0.1929
2462,11.1437,-0.1057,18.3629,-0.1276,20.8443,-0.0133,10.1006,0.2013
2463,10.0266,-0.1000,17.8176,0.2188,15.3689,0.3103,14.5591,-0.2209
2464,15.4847,0.2797,12.7417,0.0344,14.2296,0.2957,12.7262,0.1173
2465,8.1752,-0.4429,14.0898,0.0522,14.4289,0.1080,21.0344,0.1729
2466,6.5829,-0.2623,21.0618,0.2556,4.8560,0.2485,10.5007,0.3356
2467,10.5494,0.1451,10.8914,-0.2914,6.7481,-0.0289,19.4224,-0.0562
2468,9.0145,-0.0859,18.3590,0.0453,16.5483,-0.2290,11.9333,0.2105
2469,4.8353,0.0746,3.5622,0.0178,19.8455,0.3565,16.0350,-0.0924
2470,10.8920,0.1332,9.1971,-0.0338,15.6490,0.3484,10.8410,0.2959
2471,10.9402,-0.3295,12.4319,0.3164,8.2695,-0.4869,12.5661,-0.3597
2472,13.5291,-0.3316,16.5757,0.1206,8.8770,-0.1491,23.0378,0.2557
2473,7.5183,0.2882,13.5238,-0.1521,13.4214,0.2293,17.9014,-0.3075
2474,3.7572,-0.0965,13.5305,-0.1957,13.9622,-0.4513,16.8609,0.3601
2475,6.7435,-0.1690,11.1980,-0.0347,12.3408,0.4166,16.1954,-0.1555
2476,4.3947,0.0926,9.7433,0.2660,14.9957,0.4631,13.0322,-0.2314
2477,12.4320,0.2448,14.5722,0.1539,16.3115,-0.3531,8.3453,0.3227
2478,12.0818,0.1947,11.8118,0.0748,14.7223,0.1802,18.4686,0.2195
2479,11.4807,0.1155,14.1807,-0.1817,9.8191,-0.1371,18.5890,-0.3818
2480,11.1142,0.2894,13.3554,-0.1039,13.3328,-0.0515,3.0000,-0.0992
2481,5.5058,0.1274,10.0785,-0.5635,10.7300,-0.3781,11.9252,0.1044
2482,9.4016,-0.1385,17.2645,0.2040,11.8139,0.1028,6.9009,-0.3011
2483,12.7894,0.0655,14.9792,0.1307,10.8941,0.0915,11.3044,-0.0236
2484,5.4399,0.1958,12.5806,0.6596,11.3305,-0.0901,16.6764,-0.1204
2485,11.1411,-0.2023,8.1285,0.0618,12.6250,0.3673,19.3700,0.2048
2486,12.8977,-0.1419,12.9729,0.2823,25.4696,0.5159,5.9294,-0.1820
2487,16.1466,0.0493,10.5738,0.1108,15.1482,-0.0476,6.7593,-0.2090
2488,13.1492,0.1718,14.8007,0.0008,13.8091,-0.2967,12.0471,-0.2121
2489,12.0186,-0.0058,14.6094,0.1135,14.9100,-0.5005,14.8133,-0.2589
2490,9.8965,0.0645,10.8315,0.1217,12.1290,0.4455,7.3780,-0.0789
2491,12.0375,-0.6217,12.7016,0.0028,14.6622,-0.0831,19.9790,-0.0949
2492,11.7098,0.3998,14.5291,0.1394,10.3913,0.0058,10.1969,-0.3527
2493,4.8969,0.1939,3.6911,0.3695,13.6214,-0.1501,14.3392,0.2013
2494,11.3377,0.1819,6.3763,0.0377,17.8708,-0.1592,14.8567,0.3441
2495,3.0000,0.1606,9.5927,0.2835,17.4192,0.1440,4.8312,-0.0410
2496,4.3388,0.1827,17.8763,0.3036,13.0361,-0.0398,12.6689,-0.0346
2497,9.2923,0.3478,17.0261,0.0975,12.0010,-0.4139,11.9606,-0.1518
2498,10.1771,0.2797,3.2131,0.2331,14.6021,0.0700,9.1279,-0.2158
2499,6.0430,0.1070,25.3957,-0.4754,7.7160,-0.2318,9.8272,0.2455
2500,11.7684,0.2014,5.9673,-0.1050,17.0140,0.1786,3.0000,-0.0595
2501,12.9149,0.0694,5.6618,-0.0126,4.9829,-0.1217,14.3719,0.0718
2502,11.3649,-0.1902,3.0000,0.0360,7.9767,-0.2061,9.8390,-0.1108
2503,8.7344,-0.1271,6.6353,0.1994,14.8407,-0.1600,7.7191,0.0772
2504,9.5864,-0.1051,8.0964,-0.1668,11.7052,-0.4216,3.0000,0.2105
2505,9.0746,-0.0425,16.5995,-0.3378,4.7314,0.1530,8.7031,0.6233
2506,9.6995,-0.0594,14.1078,-0.0025,17.8255,0.4153,7.6543,0.3306
2507,8.7513,-0.2887,20.2158,-0.2929,22.3147,0.1647,20.3249,-0.2834
2508,9.7878,0.0527,22.7851,-0.1392,6.2729,-0.0027,12.1124,0.0705
2509,9.8126,0.1845,21.8891,-0.3227,15.0256,-0.0216,10.8219,0.1391
2510,10.7290,-0.1164,21.1683,0.3640,6.6579,-0.1051,13.2334,0.0690
2511,12.4221,-0.0811,15.7395,0.0433,19.9812,-0.2836,17.5812,-0.1598
2512,8.5858,0.1886,12.1332,-0.1262,21.9314,0.2920,14.4311,-0.0496
2513,10.6859,0.0474,19.3736,-0.2088,16.5257,-0.1230,4.2815,0.1347
2514,10.0118,0.2204,9.7037,-0.1255,12.7544,-0.0064,11.7683,-0.0486
2515,15.5475,0.1838,16.3156,0.3791,9.7350,0.4588,14.4300,0.2438
2516,11.3420,-0.1978,12.3871,-0.3719,14.6952,-0.0739,8.8981,-0.4015
2517,12.0749,0.0566,10.0594,-0.0699,8.5143,0.0814,9.4635,-0.2576
2518,11.4890,0.1500,3.0000,0.0491,15.2661,0.6113,20.1180,-0.3270
2519,11.8693,-0.1741,13.6559,-0.2552,6.1257,-0.1237,11.2515,0.2017
2520,4.0798,-0.2917,5.9644,-0.2332,7.1013,0.2473,19.0042,-0.0038
2521,8.9938,-0.0046,13.7950,-0.2589,12.7155,-0.0909,7.9251,-0.2474
2522,12.3333,-0.5246,12.6018,0.0233,13.9034,0.2758,15.2595,-0.4849
2523,9.4969,-0.8301,10.1837,0.1400,13.3028,0.1601,11.2410,-0.0233
2524,4.5622,0.1502,8.7904,0.2431,10.3037,0.6506,8.0713,0.2504
2525,6.7082,-0.1900,4.0704,-0.0932,19.5191,-0.3886,8.1254,0.0971
2526,6.9128,-0.0755,7.0408,0.1213,12.7799,-0.1489,13.0235,-0.2028
2527,10.0226,0.0603,6.4061,0.2583,15.6948,-0.2568,11.5861,0.1750
2528,10.0407,-0.0101,6.7929,0.0887,9.9490,-0.0351,3.6140,0.1785
2529,14.1980,-0.1917,8.3261,0.0177,9.4369,0.2333,17.6832,-0.3798
2530,9.0684,0.4899,5.5602,-0.1572,9.1196,-0.4560,11.7039,0.0656
2531,10.6079,-0.0196,8.3714,-0.1984,11.5829,0.1234,12.9772,-0.1840
2532,6.3164,0.6892,7.8525,0.3510,10.6858,0.0179,12.0971,-0.1570
2533,10.2525,-0.2349,15.9384,-0.0675,9.8063,-0.0353,14.5883,0.4771
2534,15.7965,-0.0942,13.1223,-0.0211,6.5090,-0.0528,4.4932,-0.5027
2535,11.3790,0.0062,8.3699,0.6370,9.9604,-0.2893,10.4712,-0.0746
2536,9.2861,0.0186,11.3394,-0.0681,16.8460,0.7361,24.9420,0.2677
2537,12.3952,0.2475,5.3283,-0.0908,16.4815,-0.5364,14.3744,-0.6701
2538,13.8995,-0.5823,15.3757,0.0527,14.2140,-0.0054,13.3430,0.3821
2539,11.3582,0.3818,10.9801,-0.3864,15.8871,0.0819,13.6540,0.1711
2540,12.6851,-0.4687,8.6317,-0.1328,4.4553,0.1104,11.0646,-0.2929
2541,12.4161,-0.1943,22.1216,-0.1649,17.2408,0.2677,13.3751,-0.0943
2542,9.8952,0.0130,9.7736,-0.1901,17.4468,0.0488,20.4129,0.1477
2543,10.5888,0.1026,13.6602,0.3353,9.4082,0.4171,9.9988,-0.2956
2544,7.9670,-0.0499,9.3357,-0.2009,8.8747,-0.2148,16.4737,-0.3395
2545,9.0665,-0.1196,7.5606,-0.1744,10.6798,0.2383,9.4940,-0.1588
2546,9.1860,0.0018,11.6352,-0.0257,3.8995,-0.1518,3.0534,0.3643
2547,5.0131,-0.0994,6.3666,-0.1957,9.2533,-0.1986,10.3807,0.4986
2548,9.5538,0.2709,12.4037,-0.0765,3.0000,0.1936,5.0677,0.0530
2549,7.4009,0.1729,9.3501,-0.0991,11.2259,-0.1580,13.2875,0.0021
2550,10.4076,0.1117,10.6677,-0.0770,11.8150,-0.9927,11.8449,0.1828
2551,9.5171,0.2557,13.0031,-0.3415,11.6261,0.1557,14.3645,0.0138
2552,4.9452,0.0870,9.0855,0.1710,5.9577,-0.0449,14.0123,-0.2393
2553,11.3458,-0.0596,13.4823,0.0865,16.4548,0.4271,8.7866,-0.3310
2554,4.6590,-0.4022,12.7897,-0.0824,10.6608,0.1257,13.4251,-0.0424
2555,10.9248,0.4658,15.1827,0.0522,14.6946,0.0640,10.0149,-0.2686
2556,11.9208,0.2807,24.9622,-0.1154,14.2021,0.2179,16.7687,-0.3166
2557,10.7472,-0.3023,8.0506,-0.0238,13.9601,-0.1345,13.9961,0.3200
2558,11.4585,0.1831,12.5806,-0.4710,14.6029,0.4550,20.0942,-0.0619
2559,9.6258,0.1152,10.3803,0.1202,12.4212,0.0053,6.6457,0.2914
2560,10.1138,-0.2358,13.1768,-0.2651,17.5526,-0.1067,8.3529,-0.0655
2561,8.8462,0.3463,14.4928,-0.0444,14.1683,0.1878,9.0421,-0.3823
2562,13.4776,0.0413,16.2802,0.0770,15.2262,0.1306,14.5842,-0.1335
2563,14.5255,-0.2870,18.0872,0.4474,7.6911,-0.1170,7.0657,-0.1084
2564,10.9424,-0.3044,11.6265,0.2179,17.4190,0.1916,6.8641,-0.0252
2565,7.4795,0.1040,13.7271,-0.5205,13.1333,-0.1554,18.5960,-0.0731
2566,9.2582,-0.2387,7.5367,-0.1651,7.8077,0.1175,11.1999,0.0043
2567,11.8493,-0.1838,7.0762,-0.0649,11.7155,-0.3970,12.3093,0.0501
2568,11.3523,0.1062,16.2009,-0.0909,12.2406,0.0289,17.0121,0.3345
2569,9.9158,-0.1652,10.2190,-0.4282,18.9859,-0.1894,18.2940,0.1674
2570,8.4176,-0.1175,6.9881,0.2049,6.9135,-0.2537,4.3184,0.2783
2571,4.8358,-0.1975,3.0311,0.0906,11.1833,-0.2681,7.0822,-0.2794
2572,7.6774,0.1681,12.7935,-0.1644,9.7367,-0.3126,6.5009,-0.0672
2573,7.7870,0.3096,3.0000,-0.1445,3.0000,0.0642,12.9460,0.2159
2574,7.8629,-0.4266,3.0000,0.0090,7.4066,0.1421,5.5192,-0.0620
2575,11.0564,-0.2460,15.5209,0.2125,12.8950,0.1291,10.0609,-0.1868
2576,13.0220,-0.5616,8.2764,0.1014,3.0000,-0.1955,12.9893,0.2666
2577,10.1916,0.0316,14.0923,-0.1624,15.8018,-0.0002,14.2304,-0.4865
2578,11.6464,0.0512,10.8904,-0.0639,12.2045,0.0943,16.9541,-0.0011
2579,9.9007,-0.2374,16.3158,0.1348,14.3131,0.3159,13.7562,-0.0280
2580,10.8986,-0.1092,20.1390,0.0718,17.9212,0.5669,12.1098,0.0562
2581,13.4521,0.1145,19.6494,-0.2863,10.6435,-0.1643,14.3545,0.5360
2582,11.7511,0.3880,12.5106,-0.2209,4.7880,0.2038,14.0185,0.3068
2583,12.7031,-0.1849,7.9465,0.2488,3.0000,-0.1958,12.7017,0.0693
2584,14.5946,0.0274,14.8676,0.2342,19.9380,-0.3248,21.2960,0.0093
2585,12.3737,0.1365,10.6713,0.1322,20.4849,-0.2623,14.9021,-0.1977
2586,11.1838,0.4493,10.3026,0.1772,12.2065,0.0605,9.9527,0.3260
2587,11.9691,0.1005,21.3943,-0.3592,17.5473,-0.0130,10.1840,-0.1793
2588,8.9049,0.4773,17.2165,-0.4645,17.4076,0.1501,13.8269,-0.0133
2589,8.4431,-0.3603,10.6848,-0.1564,15.9476,-0.6557,15.6290,-0.1448
2590,8.2536,0.1030,11.8139,0.2047,15.4081,0.0246,16.4645,-0.1190
2591,9.3167,-0.0673,10.6339,-0.0555,9.1593,-0.2151,12.6627,0.3710
2592,6.4708,-0.0061,11.7248,-0.0770,21.0995,-0.5556,6.1509,0.0086
2593,5.2641,-0.3038,8.7859,0.6974,7.4368,-0.1490,10.4782,-0.0628
2594,7.1950,0.3056,15.5223,0.0528,13.7344,-0.1090,3.0000,-0.0933
2595,3.6063,0.1455,10.9181,-0.0497,8.3597,0.4657,10.2741,-0.1167
2596,8.5500,0.0533,3.7987,-0.1086,12.4903,-0.1680,6.6363,-0.1853
2597,8.8742,-0.4284,15.7949,0.1474,7.8501,-0.1994,14.0888,0.2394
2598,10.9242,0.2283,12.3103,0.1014,17.1709,-0.0730,18.1566,0.0813
2599,7.3355,-0.1662,13.1671,0.0138,15.0352,0.5811,15.3893,-0.4639
2600,10.2280,-0.1960,3.0000,-0.2733,21.6041,0.5785,13.2519,-0.2173
2601,6.4751,-0.3769,8.7763,0.1158,3.0000,-0.1194,8.8496,-0.2494
2602,11.9222,-0.0833,8.5032,-0.1826,13.3239,-0.2519,11.0345,-0.0444
2603,5.0644,-0.1383,3.0000,-0.2210,14.2234,0.0706,11.5347,0.1134
2604,9.0086,0.3354,10.7880,-0.0323,5.4953,-0.1424,12.1060,-0.0939
2605,9.1290,-0.2509,11.5737,0.1108,18.9314,0.4569,10.9754,-0.1811
2606,12.5471,-0.1797,19.2559,0.1071,6.2557,0.4201,17.3148,-0.3799
2607,12.4596,-0.1476,10.2112,0.6837,9.6860,-0.2130,14.9699,0.3407
2608,12.8522,-0.2047,7.7260,0.1106,14.4524,-0.0218,10.9333,-0.2760
2609,6.3559,-0.3320,11.3193,-0.1009,3.2276,-0.0366,24.4385,0.0783
2610,15.2879,0.1623,16.3612,-0.1660,12.6465,-0.0930,24.5489,-0.2155
