HourOfYear,mileage_factor_RegU_CAISO,mileage_factor_RegD_CAISO
1148,1.0128,1.0092
1149,1.0088,1.0056
1150,1.0176,1.0062
1151,1.0247,1.0123
1152,1.0046,1.0110
1153,1.0032,0.9980
1154,1.0128,1.0063
1155,1.0365,1.0040
1156,1.0397,0.9972
1157,1.0294,0.9877
1158,1.0373,0.9890
1159,1.0266,1.0094
1160,1.0115,1.0056
1161,1.0157,0.9906
1162,0.9997,0.9910
1163,0.9943,1.0062
1164,1.0089,1.0115
1165,1.0137,1.0026
1166,1.0034,0.9891
1167,1.0040,1.0089
1168,1.0024,0.9995
1169,1.0102,0.9870
1170,1.0118,0.9899
1171,1.0111,0.9892
1172,1.0087,0.9985
1173,0.9972,1.0100
1174,1.0102,1.0038
1175,1.0122,0.9890
1176,1.0070,0.9929
1177,1.0034,0.9969
1178,1.0018,1.0203
1179,0.9940,1.0065
1180,0.9900,1.0181
1181,1.0007,1.0298
1182,0.9864,1.0116
1183,1.0057,1.0035
1184,1.0047,1.0046
1185,0.9967,0.9997
1186,0.9941,1.0019
1187,0.9990,1.0049
1188,0.9948,1.0060
1189,1.0018,1.0056
1190,0.9918,1.0075
1191,0.9860,0.9974
1192,0.9908,1.0049
1193,0.9868,1.0098
1194,1.0070,1.0170
1195,1.0133,1.0133
1196,1.0155,0.9954
1197,1.0137,1.0043
1198,1.0081,1.0146
1199,1.0043,1.0023
1200,0.9959,0.9887
1201,0.9986,0.9859
1202,0.9875,0.9657
1203,1.0030,0.9720
1204,1.0030,0.9829
1205,1.0149,0.9819
1206,1.0203,0.9813
1207,1.0160,0.9904
1208,1.0172,0.9901
1209,1.0102,0.9916
1210,1.0074,1.0064
1211,0.9990,1.0053
1212,1.0144,1.0097
1213,1.0135,1.0081
1214,1.0187,1.0083
1215,1.0113,0.9923
1216,1.0236,0.9706
1217,1.0127,0.9720
1218,1.0094,0.9866
1219,1.0034,0.9927
1220,1.0053,0.9922
1221,0.9980,0.9979
1222,1.0038,0.9942
1223,1.0055,1.0001
1224,1.0030,0.9928
1225,0.9928,0.9891
1226,0.9934,0.9808
1227,0.9936,0.9743
1228,1.0029,0.9745
1229,0.9998,0.9925
1230,0.9909,0.9938
1231,0.9765,0.9935
1232,0.9912,1.0074
1233,0.9912,0.9961
1234,0.9958,0.9897
1235,0.9918,0.9874
1236,0.9879,0.9919
1237,0.9892,1.0111
1238,0.9836,1.0285
1239,0.9832,1.0227
1240,0.9928,1.0094
1241,1.0005,1.0015
1242,0.9958,0.9966
1243,0.9945,1.0092
1244,0.9780,1.0151
1245,0.9668,1.0160
1246,0.9682,0.9998
1247,0.9744,1.0062
1248,0.9675,0.9853
1249,0.9798,0.9795
1250,0.9912,0.9789
1251,0.9851,0.9910
1252,0.9798,1.0011
1253,0.9872,0.9993
1254,1.0047,0.9931
1255,1.0000,0.9968
1256,1.0085,0.9928
1257,1.0068,0.9937
1258,1.0061,0.9918
1259,1.0033,0.9972
1260,1.0112,0.9893
1261,1.0272,0.9873
1262,1.0300,0.9773
1263,1.0138,0.9754
1264,1.0090,0.9844
1265,0.9897,0.9864
1266,1.0102,0.9620
1267,1.0116,0.9678
1268,1.0022,0.9729
1269,1.0042,0.9888
1270,1.0205,0.9931
1271,1.0092,1.0119
1272,1.0023,1.0194
1273,0.9913,1.0059
1274,0.9980,1.0256
1275,0.9971,1.0176
1276,0.9780,1.0105
1277,0.9851,0.9976
1278,0.9964,0.9888
1279,0.9922,0.9673
1280,0.9932,0.9796
1281,0.9926,0.9927
1282,1.0002,0.9978
1283,0.9851,0.9977
1284,0.9819,0.9924
1285,0.9824,0.9944
1286,0.9926,0.9950
1287,0.9940,1.0051
1288,0.9831,1.0052
1289,0.9810,0.9966
1290,0.9959,1.0008
1291,0.9846,0.9965
1292,0.9967,1.0051
1293,1.0058,1.0047
1294,1.0159,1.0192
1295,1.0230,1.0176
1296,1.0312,1.0302
1297,1.0092,1.0249
1298,1.0194,1.0275
1299,1.0204,1.0218
1300,1.0115,1.0115
1301,0.9987,1.0002
1302,0.9992,1.0036
1303,1.0210,1.0083
1304,1.0219,0.9992
1305,1.0135,0.9924
1306,1.0326,1.0065
1307,1.0325,1.0178
1308,1.0328,1.0207
1309,1.0295,1.0226
1310,1.0288,1.0281
1311,1.0011,1.0362
1312,1.0023,1.0353
1313,1.0091,1.0393
1314,1.0218,1.0253
1315,1.0387,1.0141
1316,1.0417,1.0198
1317,1.0361,1.0074
1318,1.0302,1.0171
1319,1.0183,1.0064
1320,1.0200,1.0107
1321,1.0343,1.0102
1322,1.0247,1.0015
1323,1.0219,1.0014
1324,1.0115,1.0010
1325,1.0188,1.0040
1326,1.0268,0.9932
1327,1.0156,0.9981
1328,1.0181,1.0043
1329,0.9909,1.0154
1330,0.9900,1.0002
1331,1.0035,1.0057
1332,0.9986,1.0002
1333,0.9871,1.0120
1334,0.9957,1.0062
1335,0.9955,1.0044
1336,0.9981,1.0133
1337,1.0015,1.0056
1338,1.0095,0.9926
1339,1.0176,0.9657
1340,1.0179,0.9716
1341,1.0254,0.9563
1342,1.0206,0.9500
1343,1.0198,0.9562
1344,1.0165,0.9693
1345,1.0028,0.9717
1346,1.0158,0.9648
1347,1.0135,0.9671
1348,1.0256,0.9527
1349,1.0252,0.9630
1350,1.0245,0.9874
1351,1.0287,1.0015
1352,1.0262,0.9908
1353,1.0158,0.9816
1354,1.0117,0.9727
1355,1.0203,0.9658
1356,1.0232,0.9626
1357,1.0113,0.9614
1358,1.0120,0.9734
1359,1.0010,0.9869
1360,1.0017,0.9798
1361,1.0107,0.9690
1362,1.0033,0.9821
1363,1.0018,0.9945
1364,0.9930,1.0079
1365,0.9998,1.0000
1366,1.0012,0.9897
1367,0.9952,0.9993
1368,0.9999,1.0138
1369,0.9997,1.0120
1370,1.0043,1.0225
1371,0.9951,1.0147
1372,0.9931,1.0087
1373,0.9956,1.0198
1374,1.0026,1.0171
1375,0.9933,1.0206
1376,0.9956,1.0079
1377,1.0054,1.0027
1378,1.0050,0.9879
1379,1.0012,0.9902
1380,0.9961,0.9854
1381,0.9920,0.9909
1382,0.9955,0.9898
1383,0.9783,1.0085
1384,0.9773,1.0098
1385,0.9852,1.0088
1386,0.9947,1.0006
1387,0.9871,1.0009
1388,0.9838,1.0074
1389,0.9874,0.9922
1390,0.9953,1.0033
1391,0.9928,1.0107
1392,0.9930,1.0112
1393,0.9973,1.0194
1394,0.9873,1.0094
1395,1.0044,0.9933
1396,1.0044,0.9987
1397,1.0004,0.9843
1398,1.0107,0.9760
1399,1.0099,0.9712
1400,1.0065,0.9757
1401,1.0087,0.9768
1402,1.0075,0.9716
1403,1.0005,0.9953
1404,1.0101,1.0059
1405,0.9947,1.0061
1406,0.9920,1.0127
1407,1.0103,1.0091
1408,1.0094,1.0234
1409,0.9933,1.0420
1410,1.0048,1.0403
1411,1.0013,1.0153
1412,0.9914,1.0145
1413,1.0026,1.0125
1414,1.0121,1.0125
1415,1.0229,1.0204
1416,1.0099,1.0114
1417,1.0068,1.0079
1418,1.0029,1.0075
1419,0.9939,1.0019
1420,1.0002,1.0077
1421,1.0101,0.9967
1422,1.0041,1.0012
1423,1.0048,1.0100
1424,1.0052,1.0155
1425,1.0141,1.0123
1426,1.0116,1.0209
1427,1.0098,1.0039
1428,1.0164,1.0056
1429,1.0145,1.0311
1430,1.0067,1.0386
1431,0.9955,1.0371
1432,0.9907,1.0384
1433,0.9946,1.0333
1434,0.9838,1.0274
1435,0.9892,1.0285
1436,0.9774,1.0279
1437,0.9725,1.0345
1438,0.9834,1.0280
1439,0.9824,1.0240
1440,0.9877,1.0318
1441,0.9894,1.0204
1442,1.0055,1.0176
1443,1.0057,1.0239
1444,0.9954,1.0118
1445,1.0018,1.0101
1446,0.9919,0.9908
1447,1.0024,0.9882
1448,1.0091,0.9831
1449,1.0102,0.9812
1450,1.0152,0.9990
1451,1.0231,0.9812
1452,1.0186,0.9926
1453,1.0168,0.9901
1454,1.0160,0.9954
1455,1.0064,0.9888
1456,1.0000,0.9993
1457,1.0005,0.9952
1458,1.0004,0.9840
1459,1.0026,0.9860
1460,0.9977,0.9863
1461,0.9847,0.9821
1462,1.0008,0.9853
1463,0.9880,0.9796
1464,0.9976,0.9794
1465,0.9953,0.9899
1466,0.9979,0.9983
1467,1.0043,0.9989
1468,0.9994,0.9976
1469,0.9871,1.0111
1470,0.9985,1.0205
1471,1.0049,1.0169
1472,1.0046,0.9920
1473,1.0113,1.0006
1474,1.0122,0.9987
1475,1.0095,0.9949
1476,1.0060,0.9923
1477,0.9853,1.0065
1478,0.9904,1.0097
1479,0.9829,1.0104
1480,0.9900,1.0049
1481,0.9892,1.0157
1482,0.9755,1.0116
1483,0.9793,1.0256
1484,0.9790,1.0221
1485,0.9954,1.0294
1486,0.9780,1.0162
1487,0.9745,1.0109
1488,0.9684,1.0276
1489,0.9813,1.0370
1490,0.9866,1.0434
1491,0.9959,1.0372
1492,0.9865,1.0408
1493,0.9802,1.0515
1494,0.9843,1.0555
1495,1.0029,1.0449
1496,1.0073,1.0509
1497,0.9980,1.0381
1498,1.0004,1.0186
1499,1.0057,1.0101
1500,0.9923,1.0068
1501,0.9914,1.0099
1502,0.9913,1.0120
1503,1.0092,1.0018
1504,1.0084,0.9908
1505,1.0220,0.9943
1506,1.0112,0.9770
1507,1.0142,0.9903
1508,0.9990,0.9913
1509,1.0048,0.9809
1510,1.0004,0.9841
1511,0.9974,0.9922
1512,1.0043,0.9971
1513,1.0109,1.0102
1514,1.0117,1.0135
1515,1.0260,1.0136
1516,1.0219,1.0094
1517,1.0209,1.0011
1518,1.0195,0.9987
1519,1.0223,1.0106
1520,1.0185,1.0033
1521,1.0058,1.0263
1522,1.0082,1.0145
1523,0.9928,1.0232
1524,1.0019,1.0340
1525,1.0122,1.0140
1526,1.0056,1.0226
1527,0.9998,1.0157
1528,0.9821,0.9986
1529,0.9849,0.9847
1530,0.9911,0.9962
1531,0.9957,1.0093
1532,0.9990,1.0076
1533,0.9968,1.0223
1534,1.0056,1.0026
1535,0.9958,1.0039
1536,0.9880,1.0093
1537,0.9779,1.0136
1538,0.9760,0.9949
1539,0.9699,1.0015
1540,0.9546,1.0008
1541,0.9563,1.0059
1542,0.9716,0.9941
1543,0.9794,1.0083
1544,0.9889,1.0116
1545,0.9957,1.0126
1546,0.9935,1.0190
1547,0.9926,1.0240
1548,0.9874,1.0277
1549,0.9920,1.0260
1550,1.0194,1.0230
1551,1.0040,1.0155
1552,1.0124,1.0068
1553,1.0053,1.0046
1554,1.0175,1.0121
1555,1.0177,1.0187
1556,1.0093,0.9941
1557,1.0054,1.0029
1558,1.0110,0.9874
1559,1.0243,0.9874
1560,1.0272,0.9982
1561,1.0182,0.9941
1562,1.0194,0.9914
1563,1.0304,0.9889
1564,1.0291,0.9928
1565,1.0226,0.9847
1566,1.0056,0.9925
1567,1.0158,1.0040
1568,1.0118,1.0202
1569,1.0032,1.0130
1570,1.0093,1.0236
1571,1.0146,1.0189
1572,1.0035,1.0125
1573,0.9960,1.0118
1574,1.0019,1.0103
1575,1.0125,1.0113
1576,1.0073,0.9948
1577,1.0041,0.9969
1578,0.9970,0.9920
1579,1.0088,1.0103
1580,1.0131,1.0013
1581,1.0006,0.9954
1582,1.0156,0.9912
1583,1.0441,0.9906
1584,1.0198,0.9982
1585,1.0193,0.9916
1586,1.0018,0.9990
1587,0.9987,0.9902
1588,0.9856,1.0001
1589,1.0016,1.0107
1590,0.9980,0.9961
1591,1.0075,0.9929
1592,1.0077,1.0016
1593,1.0218,0.9943
1594,1.0068,1.0000
1595,0.9857,0.9933
1596,0.9830,1.0006
1597,0.9827,1.0035
1598,0.9714,1.0116
1599,0.9805,1.0122
1600,0.9875,1.0180
1601,1.0019,1.0175
1602,1.0110,1.0167
1603,1.0044,1.0319
1604,0.9931,1.0228
1605,0.9788,1.0187
1606,0.9808,1.0110
1607,0.9824,1.0061
1608,0.9891,1.0029
1609,0.9762,1.0044
1610,0.9818,1.0021
1611,0.9899,1.0077
1612,0.9859,1.0048
1613,0.9936,1.0104
1614,0.9925,1.0163
1615,1.0047,1.0128
1616,1.0169,0.9954
1617,1.0140,1.0008
1618,1.0193,1.0044
1619,1.0035,0.9980
1620,0.9986,0.9894
1621,1.0022,0.9890
1622,0.9977,0.9888
1623,0.9956,0.9912
1624,0.9875,0.9926
1625,1.0056,0.9936
1626,0.9959,0.9741
1627,1.0036,0.9880
1628,0.9984,0.9806
1629,1.0043,0.9797
1630,0.9978,0.9723
1631,0.9950,0.9981
1632,0.9996,1.0013
1633,1.0052,0.9988
1634,1.0122,0.9880
1635,1.0103,0.9945
1636,1.0182,0.9938
1637,1.0170,0.9955
1638,1.0125,1.0056
1639,1.0179,0.9905
1640,1.0156,0.9992
1641,1.0150,0.9889
1642,1.0033,0.9977
1643,0.9968,1.0022
1644,1.0011,0.9805
1645,0.9929,0.9846
1646,0.9944,0.9789
1647,0.9782,0.9927
1648,0.9995,0.9962
1649,1.0057,0.9864
1650,1.0006,0.9842
1651,1.0142,0.9989
1652,1.0035,0.9961
1653,0.9978,0.9892
1654,1.0028,1.0049
1655,1.0107,1.0063
1656,1.0036,1.0044
1657,1.0071,0.9955
1658,1.0089,0.9864
1659,1.0070,0.9995
1660,1.0008,0.9939
1661,1.0083,0.9913
1662,0.9885,0.9974
1663,0.9919,1.0073
1664,0.9871,1.0036
1665,0.9884,0.9952
1666,0.9842,0.9810
1667,0.9761,1.0030
1668,0.9746,1.0095
1669,0.9741,1.0139
1670,0.9767,0.9956
1671,0.9809,0.9922
1672,0.9900,0.9959
1673,1.0053,0.9926
1674,1.0050,0.9856
1675,0.9946,0.9770
1676,1.0026,0.9813
1677,1.0045,0.9816
1678,0.9947,0.9811
1679,0.9963,0.9798
1680,1.0031,0.9868
1681,0.9949,0.9761
1682,0.9907,0.9885
1683,0.9931,0.9801
1684,0.9917,0.9889
1685,0.9791,0.9687
1686,1.0042,0.9756
1687,0.9980,0.9769
1688,0.9920,0.9899
1689,0.9900,0.9871
1690,0.9908,0.9941
1691,0.9953,0.9956
1692,0.9863,0.9891
1693,1.0002,0.9850
1694,0.9871,0.9862
1695,0.9853,0.9990
1696,0.9948,1.0033
1697,1.0020,0.9966
1698,0.9762,0.9976
1699,0.9799,0.9855
1700,0.9840,0.9820
1701,0.9889,0.9853
1702,0.9853,0.9772
1703,0.9856,0.9779
1704,0.9928,0.9950
1705,1.0008,0.9884
1706,0.9876,1.0011
1707,0.9940,0.9927
1708,0.9982,0.9768
1709,1.0061,0.9860
1710,0.9971,0.9721
1711,1.0016,0.9781
1712,0.9842,0.9751
1713,0.9837,0.9923
1714,0.9837,1.0020
1715,0.9874,1.0067
1716,0.9962,1.0066
1717,0.9870,1.0094
1718,1.0003,1.0187
1719,0.9789,1.0041
1720,0.9674,0.9927
1721,0.9818,0.9950
1722,0.9861,0.9966
1723,1.0041,1.0121
1724,1.0103,1.0167
1725,1.0086,1.0053
1726,1.0025,1.0025
1727,0.9964,1.0032
1728,1.0004,0.9860
1729,0.9950,0.9854
1730,0.9982,0.9816
1731,0.9924,0.9779
1732,0.9956,0.9701
1733,1.0104,0.9733
1734,1.0135,0.9960
1735,1.0068,0.9837
1736,1.0088,0.9795
1737,1.0097,0.9933
1738,1.0098,1.0054
1739,1.0115,0.9888
1740,1.0177,0.9870
1741,1.0242,0.9929
1742,1.0198,0.9972
1743,1.0037,0.9947
1744,1.0038,1.0055
1745,1.0017,1.0105
1746,1.0064,1.0043
1747,0.9942,0.9906
1748,0.9998,1.0027
1749,1.0010,1.0269
1750,0.9920,1.0171
1751,0.9746,1.0284
1752,0.9871,1.0253
1753,0.9805,1.0230
1754,0.9706,1.0368
1755,0.9708,1.0451
1756,0.9867,1.0274
1757,0.9909,1.0247
1758,0.9966,1.0284
1759,0.9968,1.0181
1760,1.0001,1.0228
1761,0.9982,1.0072
1762,0.9943,1.0037
1763,0.9895,1.0175
1764,0.9886,1.0187
1765,1.0126,1.0228
1766,1.0155,1.0201
1767,1.0049,1.0144
1768,0.9919,1.0216
1769,0.9926,1.0349
1770,0.9784,1.0371
1771,0.9905,1.0278
1772,0.9691,1.0389
1773,0.9718,1.0390
1774,0.9606,1.0228
1775,0.9718,1.0198
1776,0.9701,1.0176
1777,0.9819,1.0182
1778,0.9655,1.0036
1779,0.9821,0.9992
1780,0.9885,1.0007
1781,0.9903,0.9941
1782,0.9844,0.9924
1783,0.9844,1.0084
1784,0.9938,1.0015
1785,0.9873,1.0067
1786,0.9886,1.0119
1787,0.9879,1.0033
1788,0.9918,0.9986
1789,0.9806,1.0022
1790,0.9973,1.0071
1791,1.0063,0.9983
1792,0.9891,1.0069
1793,0.9732,1.0139
1794,0.9908,1.0129
1795,0.9931,1.0058
1796,0.9780,1.0115
1797,0.9775,1.0082
1798,0.9790,1.0113
1799,0.9886,1.0240
1800,0.9993,1.0243
1801,1.0005,1.0143
1802,0.9989,0.9986
1803,0.9948,1.0011
1804,1.0085,1.0037
1805,1.0031,0.9929
1806,1.0073,0.9805
1807,0.9962,0.9835
1808,0.9854,0.9800
1809,0.9898,0.9974
1810,0.9882,0.9921
1811,0.9778,0.9860
1812,0.9789,0.9884
1813,1.0054,0.9859
1814,1.0041,0.9804
1815,1.0006,0.9900
1816,0.9978,0.9981
1817,1.0091,1.0050
1818,1.0061,1.0105
1819,1.0073,1.0251
1820,1.0125,1.0085
1821,1.0220,1.0033
1822,1.0114,0.9980
1823,1.0006,0.9998
1824,0.9940,0.9814
1825,1.0010,0.9867
1826,1.0078,0.9875
1827,1.0082,0.9960
1828,1.0156,1.0171
1829,1.0197,1.0143
1830,1.0105,1.0089
1831,0.9950,1.0069
1832,0.9919,1.0063
1833,0.9982,1.0053
1834,1.0031,1.0042
1835,0.9861,1.0080
1836,0.9672,1.0150
1837,0.9794,1.0114
1838,0.9897,1.0098
1839,0.9948,1.0152
1840,1.0040,1.0201
1841,1.0052,1.0253
1842,0.9921,1.0381
1843,0.9908,1.0535
1844,0.9917,1.0676
1845,0.9881,1.0549
1846,0.9849,1.0501
1847,0.9868,1.0399
1848,0.9817,1.0299
1849,0.9656,1.0329
1850,0.9728,1.0240
1851,0.9891,1.0271
1852,0.9710,1.0191
1853,0.9778,1.0044
1854,0.9727,1.0017
1855,0.9838,1.0083
1856,0.9902,1.0025
1857,1.0016,1.0054
1858,0.9936,0.9945
1859,0.9954,0.9870
1860,1.0188,0.9996
1861,1.0173,0.9941
1862,1.0206,1.0042
1863,1.0296,1.0004
1864,1.0162,0.9987
1865,0.9949,1.0073
1866,0.9804,1.0281
1867,0.9734,1.0193
1868,0.9744,1.0346
1869,0.9836,1.0266
1870,0.9952,1.0206
1871,0.9863,1.0461
1872,1.0083,1.0371
1873,1.0186,1.0303
1874,1.0106,1.0317
1875,1.0304,1.0277
1876,1.0302,1.0281
1877,1.0241,1.0204
1878,1.0112,1.0158
1879,0.9990,1.0147
1880,1.0077,1.0070
1881,1.0072,1.0217
1882,1.0098,1.0175
1883,0.9976,1.0206
1884,1.0030,1.0268
1885,1.0031,1.0266
1886,0.9927,1.0111
1887,0.9811,1.0186
1888,0.9849,1.0184
1889,0.9939,1.0173
1890,1.0046,1.0058
1891,1.0059,1.0103
1892,0.9975,0.9984
1893,0.9981,0.9862
1894,1.0017,0.9894
1895,0.9944,0.9948
1896,0.9912,0.9893
1897,0.9930,0.9870
1898,0.9963,0.9997
1899,0.9856,1.0107
1900,0.9832,1.0131
1901,0.9875,1.0194
1902,0.9943,1.0243
1903,0.9966,1.0100
1904,0.9999,1.0097
1905,1.0022,1.0068
1906,0.9943,1.0083
1907,1.0079,0.9890
1908,1.0030,0.9926
1909,0.9956,1.0005
1910,0.9831,0.9945
1911,0.9815,0.9979
1912,0.9785,1.0104
1913,0.9790,0.9951
1914,0.9857,0.9929
1915,0.9991,0.9941
1916,1.0067,0.9804
1917,0.9872,0.9878
1918,0.9987,0.9823
1919,1.0036,0.9697
1920,1.0194,0.9759
1921,1.0100,1.0047
1922,0.9991,0.9943
1923,1.0071,1.0020
1924,1.0127,0.9983
1925,1.0042,1.0107
1926,1.0011,1.0086
1927,1.0053,0.9922
1928,1.0075,1.0088
1929,1.0058,1.0089
1930,1.0056,1.0017
1931,0.9971,1.0104
1932,0.9958,1.0111
1933,0.9840,1.0106
1934,0.9868,0.9907
1935,0.9768,0.9797
1936,0.9710,0.9863
1937,1.0052,0.9840
1938,0.9870,0.9982
1939,0.9982,0.9847
1940,1.0010,0.9829
1941,1.0036,0.9863
1942,0.9932,0.9895
1943,1.0011,0.9993
1944,0.9844,1.0098
1945,0.9827,1.0071
1946,0.9860,1.0019
1947,1.0037,0.9960
1948,1.0090,1.0068
1949,1.0034,1.0128
1950,1.0003,1.0015
1951,1.0054,1.0004
1952,0.9934,1.0006
1953,1.0047,1.0002
1954,1.0030,1.0085
1955,0.9945,1.0041
1956,0.9828,1.0127
1957,0.9632,1.0021
1958,0.9858,0.9990
1959,0.9713,0.9956
1960,0.9809,0.9946
1961,0.9883,1.0048
1962,0.9861,1.0129
1963,0.9876,1.0209
1964,0.9862,1.0076
1965,0.9907,0.9988
1966,0.9889,0.9890
1967,0.9883,0.9966
1968,0.9896,1.0044
1969,0.9972,1.0002
1970,1.0032,1.0026
1971,1.0015,0.9984
1972,0.9989,0.9919
1973,1.0042,0.9938
1974,0.9956,0.9862
1975,0.9858,0.9695
1976,0.9762,0.9789
1977,0.9827,0.9748
1978,0.9958,0.9777
1979,0.9972,0.9713
1980,1.0001,0.9845
1981,0.9954,0.9937
1982,0.9986,1.0014
1983,1.0001,0.9887
1984,1.0045,1.0094
1985,0.9819,1.0101
1986,0.9891,1.0121
1987,0.9968,0.9966
1988,1.0029,0.9982
1989,1.0013,0.9984
1990,1.0170,0.9855
1991,1.0224,0.9822
1992,1.0316,0.9996
1993,1.0299,0.9932
1994,1.0245,0.9930
1995,1.0254,0.9889
1996,1.0151,0.9955
1997,1.0199,1.0042
1998,1.0122,1.0112
1999,1.0046,1.0098
2000,0.9918,1.0183
2001,1.0024,1.0073
2002,1.0203,1.0041
2003,1.0290,1.0007
2004,1.0320,1.0113
2005,1.0346,0.9910
2006,1.0364,0.9790
2007,1.0287,0.9690
2008,1.0200,0.9735
2009,1.0075,0.9756
2010,1.0231,0.9642
2011,1.0170,0.9776
2012,1.0152,0.9892
2013,1.0023,0.9924
2014,0.9948,0.9816
2015,0.9868,1.0089
2016,0.9859,1.0148
2017,0.9943,1.0225
2018,0.9996,1.0096
2019,1.0051,0.9993
2020,1.0040,0.9884
2021,1.0101,0.9866
2022,1.0069,0.9854
2023,1.0098,0.9857
2024,1.0045,0.9968
2025,1.0137,1.0047
2026,1.0031,1.0110
2027,1.0128,1.0203
2028,1.0137,1.0191
2029,1.0250,1.0333
2030,1.0145,1.0283
2031,1.0097,1.0273
2032,1.0056,1.0140
2033,0.9967,1.0042
2034,1.0153,1.0062
2035,1.0060,1.0045
2036,0.9965,1.0172
2037,1.0104,1.0048
2038,1.0154,0.9924
2039,1.0109,0.9965
2040,0.9921,0.9924
2041,1.0091,0.9934
2042,1.0251,0.9982
2043,1.0261,1.0021
2044,1.0261,0.9970
2045,1.0232,0.9931
2046,1.0151,1.0034
2047,1.0233,1.0032
2048,1.0156,1.0072
2049,1.0178,1.0052
2050,1.0166,1.0022
2051,1.0135,0.9954
2052,1.0033,1.0019
2053,0.9918,1.0043
2054,0.9978,0.9947
2055,0.9943,1.0035
2056,0.9966,0.9889
2057,0.9991,1.0007
2058,1.0020,0.9939
2059,1.0006,0.9973
2060,1.0064,0.9974
2061,1.0045,0.9887
2062,1.0015,0.9875
2063,1.0079,1.0022
2064,1.0067,1.0092
2065,1.0076,1.0188
2066,1.0148,1.0082
2067,1.0160,1.0003
2068,1.0215,0.9977
2069,1.0032,0.9977
2070,1.0267,0.9904
2071,1.0284,0.9924
2072,1.0287,0.9970
2073,1.0222,1.0077
2074,1.0045,1.0072
2075,1.0102,1.0095
2076,1.0185,1.0005
2077,0.9996,0.9860
2078,1.0077,0.9990
2079,1.0204,1.0001
2080,1.0303,1.0087
2081,1.0296,1.0036
2082,1.0235,0.9925
2083,1.0279,0.9811
2084,1.0266,0.9766
2085,1.0251,0.9722
2086,1.0157,0.9819
2087,0.9982,0.9842
2088,1.0063,0.9958
2089,1.0022,0.9940
2090,0.9929,1.0076
2091,0.9841,1.0120
2092,0.9853,1.0093
2093,0.9769,1.0015
2094,0.9909,1.0152
2095,0.9975,1.0086
2096,1.0081,1.0131
2097,0.9972,1.0182
2098,0.9851,1.0268
2099,1.0037,1.0137
2100,0.9958,1.0334
2101,0.9974,1.0440
2102,0.9909,1.0409
2103,0.9851,1.0209
2104,0.9932,1.0246
2105,0.9933,1.0279
2106,1.0065,1.0110
2107,0.9891,1.0075
2108,0.9909,1.0169
2109,0.9879,0.9941
2110,0.9879,0.9985
2111,0.9885,1.0015
2112,0.9964,0.9911
2113,0.9954,0.9978
2114,0.9946,0.9986
2115,1.0114,0.9988
2116,0.9983,1.0024
2117,0.9887,1.0010
2118,1.0076,0.9992
2119,1.0218,0.9957
2120,1.0015,0.9982
2121,1.0207,0.9917
2122,1.0222,1.0122
2123,1.0117,1.0014
2124,1.0097,1.0060
2125,1.0040,0.9956
2126,1.0033,1.0267
2127,0.9989,1.0152
2128,0.9884,1.0292
2129,0.9785,1.0187
2130,0.9844,1.0228
2131,0.9799,1.0188
2132,0.9706,1.0185
2133,0.9808,1.0189
2134,0.9890,1.0221
2135,0.9958,1.0236
2136,0.9972,1.0180
2137,0.9898,1.0157
2138,1.0026,1.0140
2139,1.0101,1.0117
2140,1.0285,1.0084
2141,1.0348,1.0113
2142,1.0314,1.0062
2143,1.0417,1.0141
2144,1.0348,1.0237
2145,1.0292,1.0168
2146,1.0235,1.0188
2147,1.0146,1.0125
2148,1.0322,1.0043
2149,1.0188,0.9982
2150,1.0003,0.9919
2151,0.9960,0.9796
2152,1.0001,1.0037
2153,0.9951,1.0026
2154,0.9928,1.0049
2155,0.9766,0.9990
2156,0.9695,0.9963
2157,0.9631,0.9857
2158,0.9774,0.9956
2159,0.9688,0.9920
2160,0.9685,1.0108
2161,0.9725,1.0046
2162,0.9677,1.0076
2163,0.9761,0.9969
2164,0.9845,0.9977
2165,1.0006,0.9821
2166,1.0006,0.9753
2167,0.9812,0.9919
2168,0.9794,1.0069
2169,0.9805,1.0069
2170,0.9958,1.0063
2171,0.9945,1.0134
2172,0.9992,1.0136
2173,0.9966,1.0044
2174,1.0021,1.0108
2175,0.9960,1.0145
2176,0.9815,1.0248
2177,0.9610,1.0309
2178,0.9727,1.0088
2179,0.9806,0.9989
2180,0.9878,1.0243
2181,0.9911,1.0166
2182,0.9749,1.0134
2183,0.9736,1.0104
2184,0.9775,1.0057
2185,0.9749,1.0231
2186,0.9847,1.0205
2187,0.9860,1.0080
2188,0.9946,1.0040
2189,1.0061,1.0126
2190,1.0090,1.0034
2191,1.0089,1.0091
2192,0.9953,1.0023
2193,0.9967,1.0006
2194,0.9827,1.0131
2195,0.9749,1.0183
2196,0.9821,1.0208
2197,0.9739,1.0086
2198,0.9992,1.0172
2199,1.0077,1.0057
2200,1.0067,1.0035
2201,0.9801,1.0051
2202,0.9665,1.0170
2203,0.9933,1.0175
2204,0.9895,1.0176
2205,1.0022,1.0084
2206,0.9971,1.0179
2207,0.9885,1.0162
2208,0.9809,0.9980
2209,0.9704,1.0213
2210,0.9810,1.0103
2211,0.9879,0.9960
2212,0.9852,0.9932
2213,0.9690,1.0060
2214,0.9724,1.0267
2215,0.9825,1.0240
2216,1.0058,1.0264
2217,1.0140,1.0179
2218,1.0132,1.0281
2219,1.0031,1.0180
2220,1.0139,1.0232
